term,definition,disciplines,url
Active solar,"As an energy source, energy from the sun collected and stored using mechanical pumps or fans to circulate heat-laden fluids or air between solar collectors and a building.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#active_solar
Adverse water conditions,"Reduced stream flow, lack of rain in the drainage basin, or low water supply behind a pondage or reservoir dam resulting in a reduced gross head that limits the production of hydroelectric power or forces restrictions to be placed on multipurpose reservoirs or other water uses.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#adverse_water_cond
Adverse Weather Conditions,"Reduced streamflow, lack of rain in the drainage basin, or low water supply behind a pondage or reservoir dam resulting in a reduced gross head that limits the production of hydroelectric power or forces restrictions to be placed on multipurpose reservoirs or other water uses.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#Adv_weather
Amorphous silicon,"An alloy of silica and hydrogen, with a disordered, noncrystalline internal atomic arrangement, that can be deposited in thin-film layers (a few micrometers in thickness) by a number of deposition methods to produce thin-film photovoltaic cells on glass, metal, or plastic substrates.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#am_silicon
Anaerobic decomposition,"Decomposition in the absence of oxygen, as in an anaerobic lagoon or digester, which produces CO2 and CH4.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#Anaerobic_decomposition
Anaerobic lagoon,A liquid-based organic waste management installation characterized by waste residing in water at a depth of at least 6 feet for periods of 30 to 200 days.,,https://www.eia.gov/tools/glossary/index.php?id=renewable#Anerobic lagoon
Average water conditions,The amount and distribution of precipitation within a drainage basin and the run off conditions present as determined by reviewing the area water supply records over a long period of time.,,https://www.eia.gov/tools/glossary/index.php?id=renewable#ave_water_cond
Azimuth angle,"The orientation angle relative to north that a solar panel tilts toward: 0° is north, 90° is east, 180° is south, and 270° is west.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#azimuth_angle
Biobutanol,"Butanol isomers (specifically, isobutanol, n-butanol, and t-butanol) for fuel use and derived from renewable feedstock such as corn or sorghum.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#biobutanol
Biofuels,"Liquid fuels and blending components produced from biomass feedstocks, used primarily for transportation.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#biofuel
Biogenic,"Produced by biological processes of living organisms. Note: EIA uses the term ""biogenic"" to refer only to organic nonfossil material of biological origin.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#biogenic
Biogenic emissions,Emissions that are naturally occurring and are not significantly affected by human actions or activity.,,https://www.eia.gov/tools/glossary/index.php?id=renewable#Biogenic_emissions
Biomass gas,"A medium Btu gas containing methane and carbon dioxide, resulting from the action of microorganisms on organic materials such as a landfill.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#biomass_gas
Biomass waste,"Organic non-fossil material of biological origin that is a byproduct or a discarded product. Biomass waste includes municipal solid waste from biogenic sources, landfill gas, sludge waste, agricultural crop byproducts, straw, and other biomass solids, liquids, and gases; but excludes wood and wood-derived fuels (including black liquor), biofuels feedstock, biodiesel, and fuel ethanol. Note: EIA biomass waste data also include energy crops grown specifically for energy production, which would not normally constitute waste.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#biomass_waste
Biomass-based diesel fuel,"Biodiesel and other renewable diesel fuel or diesel fuel blending components derived from biomass, but excluding renewable diesel fuel coprocessed with petroleum feedstocks.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#bio_dsl_fuel
Black liquor,"A by product of the paper production process, alkaline spent liquor, that can be used as a source of energy. Alkaline spent liquor is removed from the digesters in the process of chemically pulping wood. After evaporation, the residual ""black"" liquor is burned as a fuel in a recovery furnace that permits the recovery of certain basic chemicals.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#black_liquor
Carbon stocks,"The quantity of carbon stored in biological and physical systems including: trees, products of harvested trees, agricultural crops, plants, wood and paper products and other terrestrial biosphere sinks, soils, oceans, and sedimentary and geological sinks.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#Carbon_stocks
Cells,Refers to the un-encapsulated semi-conductor components of the module that convert the solar energy to electricity.,,https://www.eia.gov/tools/glossary/index.php?id=renewable#cells
Combined hydroelectric plant,A hydroelectric plant that uses both pumped water and natural streamflow for the production of power.,,https://www.eia.gov/tools/glossary/index.php?id=renewable#comb_hydro
Concentrating solar power or solar thermal power system,"A solar energy conversion system characterized by the optical concentration of solar rays through an arrangement of mirrors to generate a high temperature working fluid. Also see Solar trough, Solar power tower, or Solar dish. Concentrating solar power (but not Solar thermal power) may also refer to a system that focuses solar rays on aphotovoltaic cell to increase conversion efficiency.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#con_solar
Concentrator,"A reflective or refractive device that focuses incident insolation onto an area smaller than the reflective or refractive surface, resulting in increased insolation at the point of focus.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#conc
Conventional hydroelectric plant,A plant in which all of the power is produced from natural streamflow as regulated by available storage.,,https://www.eia.gov/tools/glossary/index.php?id=renewable#conv_hydro
Cord of wood,"A cord of wood measures 4 feet by 4feet by 8 feet, or 128 cubic feet.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#cord_wood
Cull wood,"Wood logs, chips, or wood products that are burned.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#cull_wood
Dam,"A physical barrier constructed across a river or waterway to control the flow of or raise the level of water. The purpose of construction may be for flood control, irrigation needs, hydroelectric power production, and/or recreation usage.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#dam
Externalities,"Benefits or costs, generated as a byproduct of an economic activity, that do not accrue to the parties involved in the activity. Environmental externalities are benefits or costs that manifest themselves through changes in the physical or biological environment.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#external
Flow control,"The laws, regulations, and economic incentives or disincentives used by waste managers to direct waste generated in a specific geographic area to a designated landfill, recycling, or waste-to-energy facility.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#flow_contr
Fuel wood,"Wood and wood products, possibly including scrubs and branches, etc, bought or gathered, and used by direct combustion.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#fuel_wood
Geologic sequestration,"A type of engineered sequestration, where captured carbon dioxide is injected for permanent storage into underground geologic reservoirs, such as oil and natural gas fields, saline aquifers, or abandoned coal mines.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#Geologic_sequestration
Green pricing,"In the case of renewable electricity, green pricing represents a market solution to the various problems associated with regulatory valuation of the nonmarket benefits of renewables. Green pricing programs allow electricity customers to express their willingness to pay for renewable energy development through direct payments on their monthly utility bills.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#green_price
Heat pump (geothermal),A heat pump in which the refrigerant exchanges heat (in a heat exchanger) with a fluid circulating through an earth connection medium (ground or ground water). The fluid is contained in a variety of loop (pipe) configurations depending on the temperature of the ground and the ground area available. Loops may be installed horizontally or vertically in the ground or submersed in a body of water.,,https://www.eia.gov/tools/glossary/index.php?id=renewable#heat_pump_geo
Heat pump efficiency,"The efficiency of a heat pump, that is, the electrical energy to operate it, is directly related to temperatures between which it operates. Geothermal heat pumps are more efficient than conventional heat pumps or air conditioners that use the outdoor air since the ground or ground water a few feet below the earth's surface remains relatively constant throughout the year. It is more efficient in the winter to draw heat from the relatively warm ground than from the atmosphere where the air temperature is much colder, and in summer transfer waste heat to the relatively cool ground than to hotter air. Geothermal heat pumps are generally more expensive ($2,000-$5,000) to install than outside air heat pumps. However, depending on the location geothermal heat pumps can reduce energy consumption (operating cost) and correspondingly, emissions by more than 20 percent compared to high-efficiency outside air heat pumps. Geothermal heat pumps also use the waste heat from air-conditioning to provide free hot water heating in the summer.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#heat_pump_eff
"Heating stove burning wood, coal, or coke","Any free-standing box or controlled-draft stove; or a stove installed in a fireplace opening, using the chimney of the fireplace. Stoves are made of cast iron, sheet metal, or plate steel. Free-standing fireplaces that can be detached from their chimneys are considered heating stoves.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#heat_stove
Hot dry rock,"Heat energy residing in impermeable, crystalline rock. Hydraulic fracturing may be used to create permeability to enable circulation of water and removal of the heat.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#hot_rock
Hub height,"In a horizontal-axis wind turbine, the distance from the turbine platform to the rotor shaft.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#hub_height
Hydraulic fracturing,"A process that stimulates or increases production and ultimate recovery from a well by pumping a fluid and a proppant (sand or similar material) at high pressure into a well to create fractures in the reservoir that the proppant holds open. Hydraulic fracturing increases the surface of the formation available for oil and natural gas to flow into the wellbore (the hole drilled into the earth to extract oil and natural gas). Water is the most commonly used fluid, but carbon dioxide and nitrogen are sometimes used. The proppant is usually sand, but resin-coated sand, ceramics, and sintered bauxite are sometimes used. Hydraulic fracturing is common in low-permeability formations.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#hydraul_fract
Hydraulic head,The distance between the respective elevations of the upstream water surface (headwater) above and the downstream surface water (tailwater) below a hydroelectric power plant.,,https://www.eia.gov/tools/glossary/index.php?id=renewable#hydraul_head
Intermittent electric generator or intermittent resource,"An electric generating plant with output controlled by the natural variability of the energy resource rather than dispatched based on system requirements. Intermittent output usually results from the direct, non-stored conversion of naturally occurring energy fluxes such as solar energy, wind energy, or the energy of free-flowing rivers (that is, run-of-river hydroelectricity).",,https://www.eia.gov/tools/glossary/index.php?id=renewable#interm_el_gen
Kaplan turbine,A type of turbine that that has two blades whose pitch is adjustable. The turbine may have gates to control the angle of the fluid flow into the blades.,,https://www.eia.gov/tools/glossary/index.php?id=renewable#kap_turb
Landfill gas,"Gas that is generated by decomposition of organic material at landfill disposal sites. The average composition of landfill gas is approximately 50 percent methane and 50 percent carbon dioxide and water vapor by volume. The methane percentage, however, can vary from 40 to 60 percent, depending on several factors including waste composition (e.g. carbohydrate and cellulose content). The methane in landfill gas may be vented, flared, combusted to generate electricity or useful thermal energy on-site, or injected into a pipeline for combustion off-site.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#land_gas
Low head,Vertical difference of 100 feet or less in the upstream surface water elevation (headwater) and the downstream surface water elevation (tailwater) at a dam.,,https://www.eia.gov/tools/glossary/index.php?id=renewable#low_head
Mass burn facility,"A type of municipal solid waste (MSW) incineration facility in which MSW is burned with only minor presorting to remove oversize, hazardous, or explosive materials.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#mass_burn
Median water condition,The middle precipitation and run-off condition for a distribution of water conditions that have happened over a long period of time. Usually determined by examining the water supply record of the period in question.,,https://www.eia.gov/tools/glossary/index.php?id=renewable#med_water
Minimum streamflow,The lowest rate of flow of water past a given point during a specified period.,,https://www.eia.gov/tools/glossary/index.php?id=renewable#min_stream
Modules,"Photovoltaic cells or an assembly of cells into panels (modules) intended for and shipped for final consumption or to another organization for resale. When exported, incomplete modules and unencapsulated cells are also included. Modules used for space applications are not included.",,https://www.eia.gov/tools/glossary/index.php?id=renewable#modules
