term,definition,disciplines,url
abnormal events,"[Geophysics] A term to indicate features in seismic data other than reflections, including events such as diffractions, multiples, refractions, and surface waves. Although the term suggests that such events are not common, they often occur in seismic data.",Geophysics,https://glossary.slb.com/en/terms/a/abnormal_events
absorbing boundary conditions,[Geophysics] An algorithm used in numerical simulation along the boundary of a computational domain to absorb all energy incident upon that boundary and to suppress reflection artifacts.,Geophysics,https://glossary.slb.com/en/terms/a/absorbing_boundary_conditions
absorptance,[Geophysics] The ratio of absorbed incident energy to the total energy to which a body is exposed.,Geophysics,https://glossary.slb.com/en/terms/a/absorptance
absorption,"1. (n.) [Geophysics] The conversion of one form of energy into another as the energy passes through a medium. For example, seismic waves are partially converted to heat as they pass through rock. | 2. (n.) [Production Facilities] The property of some liquids or solids to soak up water or other fluids. The natural gas dehydration process uses glycols (liquids) that absorb the water vapor to finally obtain dehydrated gas. In the same way, light oil, also called absorption oil, is used to remove the heavier liquid hydrocarbons from a wet gas stream to obtain dry gas.",Geophysics; Production Facilities,https://glossary.slb.com/en/terms/a/absorption
absorption band,[Geophysics] The range of wavelengths of energy that can be absorbed by a given substance.,Geophysics,https://glossary.slb.com/en/terms/a/absorption_band
accelerometer,"[Geophysics] A device used during surveying to measure the acceleration of a ship or aircraft, or to detect ground acceleration in boreholes or on the Earth's surface produced by acoustic vibrations.",Geophysics,https://glossary.slb.com/en/terms/a/accelerometer
acoustic,"1. (adj.) [Geophysics] Pertaining to sound. Generally, acoustic describes sound or vibrational events, regardless of frequency. The term sonic is limited to frequencies and tools operated in the frequency range of 1 to 25 kilohertz. | 2. (adj.) [Geophysics] In geophysics, acoustic refers specifically to P-waves in the absence of S-waves (i.e., in fluids, which do not support S-waves, or in cases in which S-waves in solids are ignored).",Geophysics,https://glossary.slb.com/en/terms/a/acoustic
acoustic basement,"[Geophysics] The portion of the Earth below which strata cannot be imaged with seismic data, or the deepest relatively continuous reflector. Acoustic basement, in some regions, coincides with economic basement and geologic basement, or that portion of the Earth that does not comprise sedimentary rocks.",Geophysics,https://glossary.slb.com/en/terms/a/acoustic_basement
acoustic coupler,[Geophysics] An obsolete piece of equipment that converts acoustic signals from analog to electrical form and back. A common use of an acoustic coupler was to provide an interface between a telephone and an early type of computer modem.,Geophysics,https://glossary.slb.com/en/terms/a/acoustic_coupler
acoustic emission,[Geophysics] A type of elastic wave produced by deformation or brittle failure of material and characterized by relatively high frequency.,Geophysics,https://glossary.slb.com/en/terms/a/acoustic_emission
acoustic impedance,"[Geophysics] The product of density and seismic velocity, which varies among different rock layers, commonly symbolized by Z. The difference in acoustic impedance between rock layers affects the reflection coefficient.",Geophysics,https://glossary.slb.com/en/terms/a/acoustic_impedance
acoustic impedance section,"[Geophysics] A seismic reflectivity section, or a 2D or 3D seismic section, that has been inverted for acoustic impedance. Sonic and density logs can be used to calibrate acoustic impedance sections.",Geophysics,https://glossary.slb.com/en/terms/a/acoustic_impedance_section
acoustic log,"1. (n.) [Geophysics] A display of traveltime of acoustic waves versus depth in a well. The term is commonly used as a synonym for a sonic log. Some acoustic logs display velocity. | 2. (n.) [Formation Evaluation] A record of some acoustic property of the formation or borehole. The term is sometimes used to refer specifically to the sonic log, in the sense of the formation compressional slowness. However, it may also refer to any other sonic measurement, for example shear, flexural and Stoneley slownesses or amplitudes, or to ultrasonic measurements such as the borehole televiewer and other pulse-echo devices, and even to noise logs.",Formation Evaluation; Geophysics,https://glossary.slb.com/en/terms/a/acoustic_log
acoustic positioning,"[Geophysics] A method of calculating the position of marine seismic equipment. Range measurements are made whereby distance is equal to acoustic signal traveltime from transmitter to hydrophone multiplied by the speed of sound in water. When sufficient acoustic ranges with a proper geometric distribution are collected, location coordinates x, y and z of the marine seismic equipment can be computed by the method of trilateration (measuring the lengths of the sides of overlapping triangles). Acoustic positioning is commonly used in towed streamer and ocean-bottom cable seismic acquisition modes.",Geophysics,https://glossary.slb.com/en/terms/a/acoustic_positioning
acoustic transparency,"[Geophysics] The quality of a medium whose acoustic impedance is constant throughout, such that it contains no seismic reflections. An example of an acoustically transparent medium is water.",Geophysics,https://glossary.slb.com/en/terms/a/acoustic_transparency
acoustic traveltime,[Geophysics] The duration of the passage of a signal from the source through the Earth and back to the receiver. A time seismic section typically shows the two-way traveltime of the wave.,Geophysics,https://glossary.slb.com/en/terms/a/acoustic_traveltime
acoustic velocity,"[Geophysics] The rate at which a sound wave travels through a medium. Unlike the physicist's definition of velocity as a vector, its usage in geophysics is as a property of a medium: distance divided by traveltime. Velocity can be determined from laboratory measurements, acoustic logs, vertical seismic profiles or from velocity analysis of seismic data. It can vary vertically, laterally and azimuthally in anisotropic media such as rocks, and tends to increase with depth in the Earth because compaction reduces porosity. Velocity also varies as a function of how it is derived from the data. For example, the stacking velocity derived from normal moveout measurements of common depth point gathers differs from the average velocity measured vertically from a check-shot or vertical seismic profile (VSP). Velocity would be the same only in a constant-velocity (homogeneous) medium.",Geophysics,https://glossary.slb.com/en/terms/a/acoustic_velocity
acoustic velocity log,[Geophysics] A display of traveltime of acoustic waves versus depth in a well. The term is commonly used as a synonym for a sonic log. Some acoustic logs display velocity.,Geophysics,https://glossary.slb.com/en/terms/a/acoustic_velocity_log
acoustic wave,"[Geophysics] An elastic body wave or sound wave in which particles oscillate in the direction the wave propagates. P-waves are the waves studied in conventional seismic data. P-waves incident on an interface at other than normal incidence can produce reflected and transmitted S-waves, in that case known as converted waves.",Geophysics,https://glossary.slb.com/en/terms/a/acoustic_wave
acquisition,"[Geophysics] The generation and recording of seismic data. Acquisition involves many different receiver configurations, including laying geophones or seismometers on the surface of the Earth or seafloor, towing hydrophones behind a marine seismic vessel, suspending hydrophones vertically in the sea or placing geophones in a wellbore (as in a vertical seismic profile) to record the seismic signal. A source, such as a vibrator unit, dynamite shot, or an air gun, generates acoustic or elastic vibrations that travel into the Earth, pass through strata with different seismic responses and filtering effects, and return to the surface to be recorded as seismic data. Optimal acquisition varies according to local conditions and involves employing the appropriate source (both type and intensity), optimal configuration of receivers, and orientation of receiver lines with respect to geological features. This ensures that the highest signal-to-noise ratio can be recorded, resolution is appropriate, and extraneous effects such as air waves, ground roll, multiples and diffractions can be minimized or distinguished, and removed through processing.",Geophysics,https://glossary.slb.com/en/terms/a/acquisition
aeolotropy,"[Geology, Geophysics, Shale Gas] Predictable variation of a property of a material with the direction in which it is measured, which can occur at all scales. For a crystal of a mineral, variation in physical properties observed in different directions is aeolotropy (also known as anisotropy). In rocks, variation in seismic velocity measured parallel or perpendicular to bedding surfaces is a form of aeolotropy. Often found where platy minerals such as micas and clays align parallel to depositional bedding as sediments are compacted, aeolotropy is common in shales.","Geology, Geophysics, Shale Gas",https://glossary.slb.com/en/terms/a/aeolotropy
aerated layer,"[Geology, Geophysics] The surface or near-surface, unconsolidated sedimentary layer that has been subject to weathering and whose pores are air-filled instead of liquid-filled. An aerated layer typically has a low seismic velocity.","Geology, Geophysics",https://glossary.slb.com/en/terms/a/aerated_layer
aeromagnetic survey,"[Geophysics] Measurements of the Earth's magnetic field gathered from aircraft. Magnetometers towed by an airplane or helicopter can measure the intensity of the Earth's magnetic field. The differences between actual measurements and theoretical values indicate anomalies in the magnetic field, which in turn represent changes in rock type or in thickness of rock units.",Geophysics,https://glossary.slb.com/en/terms/a/aeromagnetic_survey
AGC,"[Geophysics] Abbreviation for automatic gain control. A system to automatically control the gain, or the increase in the amplitude of an electrical signal from the original input to the amplified output. AGC is commonly used in seismic processing to improve visibility of late-arriving events in which attenuation or wavefront divergence has caused amplitude decay.",Geophysics,https://glossary.slb.com/en/terms/a/agc
