term,definition,disciplines,url
API gravity,"[Enhanced Oil Recovery, Heavy Oil] A specific gravity scale developed by the American Petroleum Institute (API) for measuring the relative density of various petroleum liquids, expressed in degrees. API gravity is gradated in degrees on a hydrometer instrument and was designed so that most values would fall between 10° and 70° API gravity. The arbitrary formula used to obtain this effect is: API gravity = (141.5/SG at 60 degF) – 131.5, where SG is the specific gravity of the fluid.","Enhanced Oil Recovery, Heavy Oil",https://glossary.slb.com/en/terms/a/api_gravity
biodegradation,"1. (n.) [Drilling Fluids] The process by which complex molecules are broken down by micro-organisms to produce simpler compounds. Biodegradation can be either aerobic (with oxygen) or anaerobic (without oxygen). The potential for biodegradation is commonly measured on drilling-fluid products to ensure that they do not persist in the environment. A variety of tests exist to assess biodegradation. | 2. (n.) [Heavy Oil] The breakdown of medium-weight crude oil by microbial organisms into heavy and light components. When the light components, typically methane, escape to the surface, the heavy ends are left behind. Biodegradation gradually raises oil viscosity, reduces API gravity, increases asphaltene content, and increases concentration of certain metals and sulfur.",Drilling Fluids; Heavy Oil,https://glossary.slb.com/en/terms/b/biodegradation
bitumen,"1. (n.) [Geology] Naturally occurring, inflammable organic matter formed from kerogen in the process of petroleum generation that is soluble in carbon bisulfide. Bitumen includes hydrocarbons such as asphalt and mineral wax. Typically solid or nearly so, brown or black, bitumen has a distinctive petroliferous odor. Laboratory dissolution with organic solvents allows determination of the amount of bitumen in samples, an assessment of source rock richness. | 2. (n.) [Heavy Oil] A designation for a hydrocarbon fluid with a gravity of 10° API or lower, based upon the classification of the US Department of Energy. | 3. (n.) [Shale Gas] The fraction of naturally occurring, inflammable organic matter that is extractable from rock using organic solvents. Many petroleum precursors are composed of bitumen, but most are formed from kerogen in the process of petroleum generation. Bitumen includes hydrocarbons such as asphalt and mineral wax. Typically solid or nearly so, brown or black, bitumen has a distinctive petroliferous odor. Laboratory dissolution with organic solvents allows determination of the amount of bitumen in samples, an assessment of source rock richness. Burial and heating of kerogen yield bitumen, then liquid hydrocarbons, and then hydrocarbon gas. Understanding organic content is especially important in shale reservoirs because the shale is both the source rock and the reservoir rock in the petroleum system.",Geology; Heavy Oil; Shale Gas,https://glossary.slb.com/en/terms/b/bitumen
blended crude,"[Heavy Oil] A mixture of crude oils, blended in the pipeline to create a crude with specific physical properties. Because heavy and extraheavy crudes or bitumens cannot flow from the field to the refinery in their original state and at normal surface temperatures, they are blended with lighter crude oils primarily to reduce viscosity, thereby enabling transportation to a refinery. A secondary objective may be to provide a blended crude oil that has significantly higher value than the raw heavy crude. The blend is usually constructed so that the value of the overall blended volume is greater than the summed value of the initial volumes of individual heavy and light crudes.",Heavy Oil,https://glossary.slb.com/en/terms/b/blended_crude
calcium naphthenate,"[Heavy Oil] A calcium soap of naphthenic acids in crude oil. Naphthenates are formed through interaction of naphthenic acids in crude oil with metal ions such as calcium and sodium. Insoluble in either the oil or water phase, and with a density between that of oil and water, naphthenates tend to accumulate at the oil/water interface and act as surfactants to help stabilize emulsions. Naphthenates can also be deposited as solids in pipelines and can cause flow-assurance problems.",Heavy Oil,https://glossary.slb.com/en/terms/c/calcium_naphthenate
chemical injection,"[Enhanced Oil Recovery, Heavy Oil] A general term for injection processes that use special chemical solutions to improve oil recovery, remove formation damage, clean blocked perforations or formation layers, reduce or inhibit corrosion, upgrade crude oil, or address crude oil flow-assurance issues. Injection can be administered continuously, in batches, in injection wells, or at times in production wells.","Enhanced Oil Recovery, Heavy Oil",https://glossary.slb.com/en/terms/c/chemical_injection
CHOPS,[Heavy Oil] The acronym for cold heavy oil production with sand.,Heavy Oil,https://glossary.slb.com/en/terms/c/chops
cloud point,"1. (n.) [Drilling Fluids] The temperature at which a solution of a surfactant or glycol starts to form micelles (molecular agglomerates), thus becoming cloudy. This behavior is characteristic of nonionic surfactants, which are often soluble at low temperatures but ""cloud out"" at some point as the temperature is raised. Glycols demonstrating this behavior are known as ""cloud-point glycols"" and are used as shale inhibitors. The cloud point is affected by salinity, being generally lower in more saline fluids. | 2. (n.) [Heavy Oil] The temperature at which wax crystals first start to form in a crude oil. Wax appearance temperature (WAT) and wax precipitation temperature (WPT) are other synonyms.",Drilling Fluids; Heavy Oil,https://glossary.slb.com/en/terms/c/cloud_point
CO2 injection,"[Heavy Oil, Enhanced Oil Recovery] An enhanced oil recovery method in which carbon dioxide (CO2) is injected into a reservoir to increase production by reducing oil viscosity and providing miscible or partially miscible displacement of the oil.","Heavy Oil, Enhanced Oil Recovery",https://glossary.slb.com/en/terms/c/co2_injection
cogeneration,"[Heavy Oil] The process of generating two or more forms of energy from a single energy source. For example, in a heavy oil field, turbines are often used to generate electricity while their waste heat is removed to generate steam. Other alternatives exist, with turbines being run by burning gas or crude oil. Alternatively, the primary heat source can be used to generate steam directly at extremely high pressure and temperature, with the steam being run through a turbine to generate electricity before the steam is distributed to injection wells.",Heavy Oil,https://glossary.slb.com/en/terms/c/cogeneration
cold heavy oil production with sand,"[Enhanced Oil Recovery, Heavy Oil] A non-thermal primary process for producing heavy oil, also called CHOPS. In this method, continuous production of sand improves the recovery of heavy oil from the reservoir. There is both a theoretical basis and physical evidence that, in many cases, wormholes are formed in the unconsolidated sand reservoir, thereby increasing oil productivity. In most cases, an artificial lift system is used to lift the oil with sand.","Enhanced Oil Recovery, Heavy Oil",https://glossary.slb.com/en/terms/c/cold_heavy_oil_production_with_sand
cold production,"[Heavy Oil] Nonthermal primary methods of heavy oil production, which include technologies such as production with horizontal wells, multilaterals, CHOPS, water or gas injection.",Heavy Oil,https://glossary.slb.com/en/terms/c/cold_production
compositional fluid analysis,"[Heavy Oil] Any of a variety of analytical techniques carried out to determine the composition of a crude oil by breaking it down into basic chemical components. The hydrocarbon components are usually identified by carbon number fractions: C1, C2, C3, etc. up to Cn, where the limiting carbon number, n, is defined by the particular analytical technique. These analytical techniques include but are not limited to gas or liquid chromatography cryogenic and flash distillations true boiling-point distillations structural fluid characterizations such as polynuclear aromatic hydrocarbon analysis, SARA analysis, sonic testing, and other crude oil assay methods. Other nonhydrocarbon components can also be identified, such as nitrogen, heavy metals, sulfur, and salts.",Heavy Oil,https://glossary.slb.com/en/terms/c/compositional_fluid_analysis
cracking,"[Heavy Oil] The process of splitting a large heavy hydrocarbon molecule into smaller, lighter components. The process involves very high temperature and pressure and can involve a chemical catalyst to improve the process efficiency.",Heavy Oil,https://glossary.slb.com/en/terms/c/cracking
CSS,[Heavy Oil] Abbreviation for cyclic steam stimulation. Better known as cyclic steam injection.,Heavy Oil,https://glossary.slb.com/en/terms/c/css
