term,definition,disciplines,url
6FF40,"[Formation Evaluation] Referring to an induction log made with a particular array of transmitter and receiver coils. The array was introduced in 1960 and became the industry standard for 30 years. The 6FF40 array has six coils with the main transmitter-receiver pair spaced 40 in [102 cm] apart. The design of the array includes the spacing between the coils, the number of turns, and the polarity of each coil. The three transmitter and three receiver coils are each connected in series to produce one signal output. FF means focused both radially and vertically. Unlike in an array tool, the focusing is fixed by the hardware design. The 6FF40 was designed to read deep into the formation while minimizing the signal close to the tool and maintaining reasonable vertical resolution. The 6FF40 was combined with a shallow electrode device to form the induction electrical survey. The use of both tools gave a qualitative indication of invasion. Both the deep induction and the 6FF40 had deconvolution and a skin effect correction applied. The deconvolution was designed to reduce the effect of shoulder beds on the readings in high-resistivity beds. It was not effective in high-contrast formations. The skin effect correction was a simple exponential fit that would work on an analog computer.",Formation Evaluation,https://glossary.slb.com/en/terms/sym/6ff40
a,"[Formation Evaluation] The value a in the relation of formation factor (F) to porosity (phi): F = a/ phim. The value a is derived empirically from best fits of measured values of F and phi on a group of rock samples. It has no clear physical significance, although it has been related to grain shape and tortuosity. In the saturation equation, it always occurs associated with the water resistivity as (a * Rw). It is sometimes claimed that a must be 1 because at phi = 1, F must be 1. However, a material with phi = 1 is not a rock: a is essentially an empirical factor for rocks and as such can take any value. A wide range of values has been found, from 0.5 to 5.",Formation Evaluation,https://glossary.slb.com/en/terms/a/a
accelerator source,"[Formation Evaluation] A device for producing high-energy neutrons by using a charged particle accelerator. Neutron generators are used in various pulsed neutron devices and some neutron porosity measurements. In a typical device, deuterium (2D) and tritium (3T) ions are accelerated towards a target also containing the same isotopes. When 2D and 3T collide, they react to produce a neutron with an energy of about 14.1 MeV. The first neutron generators were built in the late 1950s and soon led to the first pulsed neutron capture log.",Formation Evaluation,https://glossary.slb.com/en/terms/a/accelerator_source
accuracy,"[Formation Evaluation] The closeness of the agreement between the result of the measurement and the conventional true value of the quantity. Accuracy should not be confused with precision. (ISO) Core measurements have well-defined calibration techniques and standards. Logging measurements are characterized during tool design and construction, and calibrated regularly to some standard. The quoted accuracy of a log then depends on the initial characterization, the reproducibility of the standard, and the stability of the measurement between calibrations and under downhole conditions. The actual accuracy also depends on the equipment performing and being operated to specification.",Formation Evaluation,https://glossary.slb.com/en/terms/a/accuracy
acid effect,"[Formation Evaluation] The change in a pulsed neutron capture measurement produced by acidizing a carbonate formation. Acidizing tends to increase the porosity as well as leave chlorides in the formation, thereby increasing the capture cross section. Both of these results affect the formation thermal decay time and must be taken into account in the interpretation.",Formation Evaluation,https://glossary.slb.com/en/terms/a/acid_effect
acoustic log,"1. (n.) [Geophysics] A display of traveltime of acoustic waves versus depth in a well. The term is commonly used as a synonym for a sonic log. Some acoustic logs display velocity. | 2. (n.) [Formation Evaluation] A record of some acoustic property of the formation or borehole. The term is sometimes used to refer specifically to the sonic log, in the sense of the formation compressional slowness. However, it may also refer to any other sonic measurement, for example shear, flexural and Stoneley slownesses or amplitudes, or to ultrasonic measurements such as the borehole televiewer and other pulse-echo devices, and even to noise logs.",Formation Evaluation; Geophysics,https://glossary.slb.com/en/terms/a/acoustic_log
acoustic mode,"[Formation Evaluation] A situation in which acoustic energy that propagates in one direction is confined in the other two directions as, for example, a mode confined to an interface between two different materials or within the borehole. The Stoneley wave, tube wave and flexural mode have important applications in formation evaluation, while most of the others, such as the Rayleigh wave and the various guided borehole modes (normal mode, leaky mode and hybrid mode), are considered interference that must be filtered out. In y slow formations, leaky modes can help determine formation compressional slowness.",Formation Evaluation,https://glossary.slb.com/en/terms/a/acoustic_mode
acoustic transducer,"[Formation Evaluation] A device for transforming electrical energy into sound, or vice versa. In sonic logging applications, acoustic transducers are usually made of piezoelectric ceramic or magnetostrictive materials, and may be used as either receivers or transmitters in a frequency range between about 1 and 30 kHz. The transducers are excited as either monopoles, emitting or receiving sound in all directions, or dipoles, emitting or receiving in one plane. In ultrasonic logging applications, acoustic transducers are made of piezoelectric ceramic materials, and often are used in alternating transmitter/receiver (pulse-echo) mode, in a frequency range from a few hundred kilohertz to a few megahertz.",Formation Evaluation,https://glossary.slb.com/en/terms/a/acoustic_transducer
acquisition log,"[Formation Evaluation] The log that is actually recorded while taking the measurements. It is distinct from a playback, which is produced later on from digital data.",Formation Evaluation,https://glossary.slb.com/en/terms/a/acquisition_log
activation log,"[Formation Evaluation] A log of elemental concentrations derived from the characteristic energy levels of gamma rays emitted by a nucleus that has been activated by neutron bombardment. The carbon-oxygen log, elemental capture spectroscopy log, pulsed neutron spectroscopy log, aluminum activation log and oxygen activation log are all examples of activation logs. However, the term is most commonly used to refer to the aluminum and oxygen activation logs, the latter also being known as a water-flow log.",Formation Evaluation,https://glossary.slb.com/en/terms/a/activation_log
