term,definition,disciplines,url
abnormal pressure,"1. (n.) [Geology] A subsurface condition in which the pore pressure of a geologic formation exceeds or is less than the expected, or normal, formation pressure. When impermeable rocks such as shales are compacted rapidly, their pore fluids cannot always escape and must then support the total overlying rock column, leading to abnormally high formation pressures. Excess pressure, called overpressure or geopressure, can cause a well to blow out or become uncontrollable during drilling. Severe underpressure can cause the drillpipe to stick to the underpressured formation. | 2. (n.) [Drilling] Reservoir pore fluid pressure that is not similar to normal saltwater gradient pressure. The term is usually associated with higher than normal pressure, increased complexity for the well designer, and an increased risk of well control problems. Pressure gradients in excess of around 10-lbm/galUS equivalent fluid density [0.52 psi/foot of depth] are considered abnormal. Gradients below normal are commonly called subnormal.",Drilling; Geology,https://glossary.slb.com/en/terms/a/abnormal_pressure
absolute age,"[Geology] The measurement of age in years. The determination of the absolute age of rocks, minerals, and fossils, in years before the present, is the basis for the field of geochronology. The measurement of the decay of radioactive isotopes, especially uranium, strontium, rubidium, argon, and carbon, has allowed geologists to more precisely determine the age of rock formations. Tree rings and seasonal sedimentary deposits called varves can be counted to determine absolute age. Although the term implies otherwise, ""absolute"" ages typically have some amount of potential error and are inexact. Relative age, in contrast, is the determination of whether a given material is younger or older than other surrounding material on the basis of stratigraphic and structural relationships, such as superposition, or by interpretation of fossil content.",Geology,https://glossary.slb.com/en/terms/a/absolute_age
absolute permeability,"[Geology] The measurement of the permeability, or ability to flow or transmit fluids through a rock, conducted when a single fluid, or phase, is present in the rock. The symbol most commonly used for permeability is k, which is measured in units of darcies or millidarcies.",Geology,https://glossary.slb.com/en/terms/a/absolute_permeability
absolute pressure,"[Geology] The measurement of pressure relative to the pressure in a vacuum, equal to the sum of the pressure shown on a pressure gauge and atmospheric pressure.",Geology,https://glossary.slb.com/en/terms/a/absolute_pressure
abyss,"[Geology] The deepest area of the ocean basins. The depositional energy is low and fine-grained sediments are deposited slowly by waning turbidity currents or from suspension in the water. The water is thousands of meters deep (>2,000 m) [>6,520 ft] so it is cold and sunlight is minimal.",Geology,https://glossary.slb.com/en/terms/a/abyss
abyssal,"[Geology] Pertaining to the depositional environment of the deepest area of the ocean basins, the abyss. The depositional energy is low, the abyssal plain is flat and nearly horizontal, and fine-grained sediments are deposited slowly by waning turbidity currents or from suspension in the water. The water is thousands of meters deep, so the water is cold and sunlight is minimal.",Geology,https://glossary.slb.com/en/terms/a/abyssal
accommodation,"[Geology] Sequence stratigraphic term for the amount of space available for sediment accumulation. Dominant influences on the amount of accommodation, or accommodation space, include subsidence and eustasy.",Geology,https://glossary.slb.com/en/terms/a/accommodation
accumulation,"1. (n.) [Geology] The phase in the development of a petroleum system during which hydrocarbons migrate into and remain trapped in a reservoir. | 2. (n.) [Geology] An occurrence of trapped hydrocarbons, an oil field.",Geology,https://glossary.slb.com/en/terms/a/accumulation
active margin,"[Geology] A boundary of colliding lithospheric plates. The present subduction zones of the Pacific Rim, the older mountains of the Alps, and the Himalayas represent active margins.",Geology,https://glossary.slb.com/en/terms/a/active_margin
aeolian,"[Geology] Pertaining to the environment of deposition of sediments by wind, such as the sand dunes in a desert. Because fine-grained sediments such as clays are removed easily from wind-blown deposits, eolian sandstones are typically clean and well-sorted.",Geology,https://glossary.slb.com/en/terms/a/aeolian
