term,definition,disciplines,url
Ambient,Natural condition of the environment at any given time.,,https://www.energy.gov/hgeo/geothermal/geothermal-glossary
Aquifer,"Water-bearing stratum of permeable sand, rock, or gravel.",,https://www.energy.gov/hgeo/geothermal/geothermal-glossary
Baseload Plants,Electricity-generating units that are operated to meet the constant or minimum load on the system. The cost of energy from such units is usually the lowest available per unit of electricity.,,https://www.energy.gov/hgeo/geothermal/geothermal-glossary
Binary-Cycle Power Plant,"A geothermal electricity generating plant using heat from lower temperature reservoirs. The technology uses the heat of the geothermal fluid (the ""primary fluid"") to vaporize a “working fluid” with a lower boiling point, which drives a turbine/generator set to generate electricity. Learn more about electricity generation in geothermal power plants.",,https://www.energy.gov/hgeo/geothermal/geothermal-glossary
Brine,"Subsurface fluids containing appreciable amounts of sodium chloride or other salts, from which lithium can be extracted.",,https://www.energy.gov/hgeo/geothermal/geothermal-glossary
British Thermal Unit (Btu),The quantity of heat required to raise the temperature of one pound of water one degree Fahrenheit at standard conditions. (Equal to 252 calories.),,https://www.energy.gov/hgeo/geothermal/geothermal-glossary
Cap Rocks,Rocks of low permeability that overlie a geothermal reservoir.,,https://www.energy.gov/hgeo/geothermal/geothermal-glossary
Capacity Factor,"The ratio of actual energy output to possible energy output. Among renewable power sources, geothermal energy delivers the highest capacity factor.",,https://www.energy.gov/hgeo/geothermal/geothermal-glossary
Cascading Heat,A process that uses a stream of geothermal hot water or steam to perform successive tasks requiring lower and lower temperatures.,,https://www.energy.gov/hgeo/geothermal/geothermal-glossary
Co-production,"Creating geothermal energy from oil and gas wells that are still active. Oil and gas wells often encounter hot or warm fluids along with oil and gas, and co-production captures the heat from this hot or warm fluid to generate electricity, which can be used immediately or stored for later use.",,https://www.energy.gov/hgeo/geothermal/geothermal-glossary
Condensate,Water formed by condensation of steam.,,https://www.energy.gov/hgeo/geothermal/geothermal-glossary
Condenser,Equipment that condenses turbine exhaust steam into condensate.,,https://www.energy.gov/hgeo/geothermal/geothermal-glossary
Cooling Tower,A structure in which heat is removed from hot water formed by condensation of steam.,,https://www.energy.gov/hgeo/geothermal/geothermal-glossary
Crust,Earth's outer layer of rock. Also called the lithosphere.,,https://www.energy.gov/hgeo/geothermal/geothermal-glossary
Direct Use,"Use of geothermal heat without first converting it to electricity, such as for space heating and cooling, food preparation, industrial processes, etc.",,https://www.energy.gov/hgeo/geothermal/geothermal-glossary
Drilling,"Boring into the Earth to access geothermal resources, usually with oil and gas drilling equipment that has been modified to meet geothermal requirements.",,https://www.energy.gov/hgeo/geothermal/geothermal-glossary
Dry Steam,"Very hot steam that doesn't occur with liquid. Dry steam power plants use hydrothermal fluids that are already mostly steam, which is a relatively rare natural occurrence. Dry steam power plant systems are the oldest type of geothermal power plants, and were first used in Lardarello, Italy, in 1904. Learn more about electricity generation from geothermal power plants.",,https://www.energy.gov/hgeo/geothermal/geothermal-glossary
Efficiency,The ratio of the useful energy output to energy input of a machine or other energy-converting plant.,,https://www.energy.gov/hgeo/geothermal/geothermal-glossary
