term,definition,disciplines,url
abnormal pressure,"1. (n.) [Geology] A subsurface condition in which the pore pressure of a geologic formation exceeds or is less than the expected, or normal, formation pressure. When impermeable rocks such as shales are compacted rapidly, their pore fluids cannot always escape and must then support the total overlying rock column, leading to abnormally high formation pressures. Excess pressure, called overpressure or geopressure, can cause a well to blow out or become uncontrollable during drilling. Severe underpressure can cause the drillpipe to stick to the underpressured formation. | 2. (n.) [Drilling] Reservoir pore fluid pressure that is not similar to normal saltwater gradient pressure. The term is usually associated with higher than normal pressure, increased complexity for the well designer, and an increased risk of well control problems. Pressure gradients in excess of around 10-lbm/galUS equivalent fluid density [0.52 psi/foot of depth] are considered abnormal. Gradients below normal are commonly called subnormal.",Drilling; Geology,https://glossary.slb.com/en/terms/a/abnormal_pressure
adjustable choke,"1. (n.) [Drilling] A valve usually used in well control operations to reduce the pressure of a fluid from high pressure in the closed wellbore to atmospheric pressure. It may be adjusted (opened or closed) to closely control the pressure drop. Adjustable choke valves are constructed to resist wear while high-velocity, solids-laden fluids are flowing by the restricting or sealing elements. | 2. (n.) [Well Completions] A valve, located on or near the Christmas tree that is used to control the production of fluid from a well. Opening or closing the variable valve influences the rate and pressure at which production fluids progress through the pipeline or process facilities. The adjustable choke is commonly linked to an automated control system to enable the production parameters of individual wells to be closely controlled.",Drilling; Well Completions,https://glossary.slb.com/en/terms/a/adjustable_choke
air drill,"[Drilling] To drill using gases (typically compressed air or nitrogen) to cool the drill bit and lift cuttings out of the wellbore, instead of the more conventional use of liquids. The advantages of air drilling are that it is usually much faster than drilling with liquids and it may eliminate lost circulation problems. The disadvantages are the inability to control the influx of formation fluid into the wellbore and the destabilization of the borehole wall in the absence of the wellbore pressure typically provided by liquids.",Drilling,https://glossary.slb.com/en/terms/a/air_drill
air drilling,"[Drilling] A drilling technique whereby gases (typically compressed air or nitrogen) are used to cool the drill bit and lift cuttings out of the wellbore, instead of the more conventional use of liquids. The advantages of air drilling are that it is usually much faster than drilling with liquids and it may eliminate lost circulation problems. The disadvantages are the inability to control the influx of formation fluid into the wellbore and the destabilization of the borehole wall in the absence of the wellbore pressure typically provided by liquids.",Drilling,https://glossary.slb.com/en/terms/a/air_drilling
air-cut mud,"[Drilling, Drilling Fluids] A drilling fluid (or mud) that has gas (air or natural gas) bubbles in it, resulting in a lower bulk, unpressurized density compared with a mud not cut by gas. The density of gas-cut mud can be measured accurately using a pressurized mud balance. Defoamer chemicals added to the mud or a mechanical vacuum pump degasser can liberate the trapped gas. The derrickman periodically measures mud density and communicates the results to the driller via an intercom, typically reporting something like ""9.6 heavy,"" ""10.4,"" or ""13.2 light,"" indicating more than 9.6 pounds per gallon, 10.4 pounds per gallon, or less than 13.2 pounds per gallon, respectively. Each tenth of a pound per gallon is referred to as a ""point"" of mud weight. Note that for this low-accuracy measurement, no direct mention of gas cut is made. A gas cut is inferred only if the mud returning to the surface is significantly less dense than it should be. In the case of the mud logger's measurement, ""units"" of gas (having virtually no absolute meaning) are reported. For the mud logger's measurement, a direct indication of combustible gases is made, with no direct correlation to mud weight.","Drilling, Drilling Fluids",https://glossary.slb.com/en/terms/a/air-cut_mud
annular BOP,"[Drilling] A large valve used to control wellbore fluids. In this type of valve, the sealing element resembles a large rubber doughnut that is mechanically squeezed inward to seal on either pipe (drill collar, drillpipe, casing, or tubing) or the openhole. The ability to seal on a variety of pipe sizes is one advantage the annular blowout preventer has over the ram blowout preventer. Most blowout preventer (BOP) stacks contain at least one annular BOP at the top of the BOP stack, and one or more ram-type preventers below. While not considered as reliable in sealing over the openhole as around tubulars, the elastomeric sealing doughnut is required by API specifications to seal adequately over the openhole as part of its certification process.",Drilling,https://glossary.slb.com/en/terms/a/annular_bop
annular gas flow,"[Drilling] A flow of formation gas in the annulus between a casing string and the borehole wall. Annular gas flows occur when there is insufficient hydrostatic pressure to restrain the gas. They can occur in uncemented intervals and even in cemented sections if the cement bond is poor. After cementing, as the cement begins to harden, a gel-like structure forms that effectively supports the solid material in the cement slurry. However, during this initial gelling period, the cement has no appreciable strength. Hence, with the solid (weighting) material now supported by the gel structure, the effective density of the slurry that the reservoir experiences falls rather suddenly to the density of the mix water of the cement, which is usually freshwater, whose density is 8.34 lbm/galUS, or a gradient of 0.434 psi/ft of vertical column height. Various chemical additives have been developed to reduce annular gas flow.",Drilling,https://glossary.slb.com/en/terms/a/annular_gas_flow
annular velocity,"1. (n.) [Drilling] The speed at which drilling fluid or cement moves in the annulus. It is important to monitor annular velocity to ensure that the hole is being properly cleaned of cuttings, cavings and other debris while avoiding erosion of the borehole wall. The annular velocity is commonly expressed in units of feet per minute or, less commonly, meters per minute. The term is distinct from volumetric flow. | 2. (n.) [Well Completions] The linear velocity of a fluid passing through an annular space. The term critical annular velocity is often used to describe the flow rate or velocity at which entrained solids will be efficiently transported by the annular fluid. If the fluid velocity falls below the critical rate, there will be a risk of particles settling, forming beds or bridges that may obstruct the wellbore.",Drilling; Well Completions,https://glossary.slb.com/en/terms/a/annular_velocity
annuli,[Drilling] Plural form of annulus.,Drilling,https://glossary.slb.com/en/terms/a/annuli
annulus,"1. (n.) [Drilling] The space between two concentric objects, such as between the wellbore and casing or between casing and tubing, where fluid can flow. Pipe may consist of drill collars, drillpipe, casing, or tubing. | 2. (n.) [Formation Evaluation] With reference to invasion, a region between the flushed zone and the undisturbed zone containing a buildup of formation water. The annulus forms during invasion and is caused by the different mobilities of oil and water. It only occurs in the presence of both, but is unstable and will dissipate vertically or horizontally with time. The annulus has approximately the same water saturation as the flushed zone but contains formation water. When the formation water is much more saline than the mud filtrate, the annulus forms a conductive ring around the borehole. This conductivity will cause an induction log to read too low a resistivity, by an amount that depends on its depth of investigation and the radius of the annulus. (Laterologs are little affected since they respond to resistivity, not conductivity.) Often a medium log will be more affected than a deep log so that an annulus can be detected by out-of-order curves (medium curves reading less than either shallow or deep). Array induction logs contain enough information to solve and correct for the effect of the annulus. | 3. (n.) [Well Testing] The space between two concentric pipe strings, such as between the production tubing and casing in a well. The term may also refer to the space between a pipe string and the borehole wall in an openhole completion or openhole drillstem test (DST).",Drilling; Formation Evaluation; Well Testing,https://glossary.slb.com/en/terms/a/annulus
