term,definition,disciplines,url
accumulator,"[Production, Well Workover and Intervention] A device used in a hydraulic system to store energy or, in some applications, dampen pressure fluctuations. Energy is stored by compressing a precharged gas bladder with hydraulic fluid from the operating or charging system. Depending on the fluid volume and precharge pressure of the accumulator, a limited amount of hydraulic energy is then available independent of any other power source. Well pressure-control systems typically incorporate sufficient accumulator capacity to enable the blowout preventer to be operated with all other power shut down.","Production, Well Workover and Intervention",https://glossary.slb.com/en/terms/a/accumulator
acetic acid,"[Well Completions, Drilling Fluids, Well Workover and Intervention] An organic acid used in oil- and gas-well stimulation treatments. Less corrosive than the commonly used hydrochloric acid, acetic acid treatments can be more easily inhibited or retarded for treatments of long duration. This is necessary particularly in applications requiring the protection of exotic alloys or in high-temperature wells. In most cases, acetic acid is used in conjunction with hydrochloric acid and other acid additives. It can also be used as a chelating agent.","Well Completions, Drilling Fluids, Well Workover and Intervention",https://glossary.slb.com/en/terms/a/acetic_acid
acid,"1. (adj.) [Drilling Fluids] Pertaining to an aqueous solution, such as a water-base drilling fluid, which has more hydrogen ions (H+) than hydroxyl ions (OH–) and pH less than 7. Antonyms: alkaline | 2. (n.) [Well Workover and Intervention] A generic term used to describe a treatment fluid typically comprising hydrochloric acid and a blend of acid additives. Acid treatments are commonly designed to include a range of acid types or blends, such as acetic, formic, hydrochloric, hydrofluoric, and fluoroboric acids. Applications for the various acid types or blends are based on the reaction characteristics of the prepared treatment fluid.",Drilling Fluids; Well Workover and Intervention,https://glossary.slb.com/en/terms/a/acid
acid job,"[Well Workover and Intervention, Well Completions] The treatment of a reservoir formation with a stimulation fluid containing a reactive acid. In sandstone formations, the acid reacts with the soluble substances in the formation matrix to enlarge the pore spaces. In carbonate formations, the acid dissolves the entire formation matrix. In each case, the matrix acidizing treatment improves the formation permeability to enable enhanced production of reservoir fluids. Matrix acidizing operations are ideally performed at high rate, but at treatment pressures below the fracture pressure of the formation. This enables the acid to penetrate the formation and extend the depth of treatment while avoiding damage to the reservoir formation.","Well Workover and Intervention, Well Completions",https://glossary.slb.com/en/terms/a/acid_job
acid stimulation,"[Well Completions, Well Workover and Intervention] The treatment of a reservoir formation with a stimulation fluid containing a reactive acid. In sandstone formations, the acid reacts with the soluble substances in the formation matrix to enlarge the pore spaces. In carbonate formations, the acid dissolves the entire formation matrix. In each case, the matrix acidizing treatment improves the formation permeability to enable enhanced production of reservoir fluids. Matrix acidizing operations are ideally performed at high rate, but at treatment pressures below the fracture pressure of the formation. This enables the acid to penetrate the formation and extend the depth of treatment while avoiding damage to the reservoir formation.","Well Completions, Well Workover and Intervention",https://glossary.slb.com/en/terms/a/acid_stimulation
acidize,"[Well Completions, Well Workover and Intervention] To pump acid into the wellbore to remove near-well formation damage and other damaging substances. This procedure commonly enhances production by increasing the effective well radius. When performed at pressures above the pressure required to fracture the formation, the procedure is often referred to as acid fracturing.","Well Completions, Well Workover and Intervention",https://glossary.slb.com/en/terms/a/acidize
acidizing,"[Well Workover and Intervention, Well Completions] The pumping of acid into the wellbore to remove near-well formation damage and other damaging substances. This procedure commonly enhances production by increasing the effective well radius. When performed at pressures above the pressure required to fracture the formation, the procedure is often referred to as acid fracturing.","Well Workover and Intervention, Well Completions",https://glossary.slb.com/en/terms/a/acidizing
antifoam,"1. (n.) [Drilling Fluids] A mud additive used to lower interfacial tension so that trapped gas will readily escape from mud. Mechanical degassing equipment is commonly used along with defoamer. Octyl alcohol, aluminum stearate, various glycols, silicones, and sulfonated hydrocarbons are used as defoamers. | 2. (n.) [Well Workover and Intervention] A chemical additive used to prevent the formation of foam during the preparation of a treatment fluid or slurries at surface. Excess foam created during the mixing process may cause handling and pumping difficulties and may interfere with the performance or quality control of the mixed fluid. Antifoam agents may also be used to break foams returned from the wellbore, following a treatment, in preparation for disposal of the fluids. Antonyms: foaming agent",Drilling Fluids; Well Workover and Intervention,https://glossary.slb.com/en/terms/a/antifoam
antifoam agent,"1. (n.) [Drilling Fluids] A mud additive used to lower interfacial tension so that trapped gas will readily escape from mud. Mechanical degassing equipment is commonly used along with defoamer. Octyl alcohol, aluminum stearate, various glycols, silicones, and sulfonated hydrocarbons are used as defoamers. | 2. (n.) [Well Workover and Intervention] A chemical additive used to prevent the formation of foam during the preparation of a treatment fluid or slurries at surface. Excess foam created during the mixing process may cause handling and pumping difficulties and may interfere with the performance or quality control of the mixed fluid. Antifoam agents may also be used to break foams returned from the wellbore, following a treatment, in preparation for disposal of the fluids. Antonyms: foaming agent",Drilling Fluids; Well Workover and Intervention,https://glossary.slb.com/en/terms/a/antifoam_agent
back up,"[Well Workover and Intervention] To hold one end of a threaded connection while the other is turned to make up the joint. To ensure a secure connection, many types of threaded joints are made up to specific torque requirements in oil and gas well applications. This process requires the controlled application of force to the rotating component and a means of stabilizing and securing the corresponding stationary component to which it is being connected.",Well Workover and Intervention,https://glossary.slb.com/en/terms/b/back_up
balance point,"[Well Workover and Intervention] The point at which the forces acting on a tubing string suspended in a live wellbore are equal. Under these conditions, the weight of the tubing string is balanced by the wellbore pressure acting to expel the string from the wellbore. The friction caused by the tubing string passing through the stripper or wellhead sealing device acts to extend the interval over which the balance point is apparent.",Well Workover and Intervention,https://glossary.slb.com/en/terms/b/balance_point
ball diverter,"[Well Workover and Intervention] Small spheres designed to seal perforations that are accepting the most fluid, thereby diverting reservoir treatments to other portions of the target zone. Ball sealers are incorporated into the treatment fluid and pumped with it. The effectiveness of this type of mechanical diversion to keep the balls in place is strongly dependent on the differential pressure across the perforation and the geometry of the perforation itself.",Well Workover and Intervention,https://glossary.slb.com/en/terms/b/ball_diverter
ball dropper,[Well Workover and Intervention] The device used to inject ball sealers into the treatment fluid as it is pumped through the surface treating lines.,Well Workover and Intervention,https://glossary.slb.com/en/terms/b/ball_dropper
ball launcher,[Well Workover and Intervention] The device used to inject ball sealers into the treatment fluid as it is pumped through the surface treating lines.,Well Workover and Intervention,https://glossary.slb.com/en/terms/b/ball_launcher
