term,definition,disciplines,url
adsorbed gas,"[Shale Gas] The gas accumulated on the surface of a solid material, such as a grain of a reservoir rock, or more particularly the organic particles in a shale reservoir. Measurement of adsorbed gas and interstitial gas, which is the gas contained in pore spaces, allows calculation of gas in place in a reservoir.",Shale Gas,https://glossary.slb.com/en/terms/a/adsorbed_gas
aeolotropy,"[Geology, Geophysics, Shale Gas] Predictable variation of a property of a material with the direction in which it is measured, which can occur at all scales. For a crystal of a mineral, variation in physical properties observed in different directions is aeolotropy (also known as anisotropy). In rocks, variation in seismic velocity measured parallel or perpendicular to bedding surfaces is a form of aeolotropy. Often found where platy minerals such as micas and clays align parallel to depositional bedding as sediments are compacted, aeolotropy is common in shales.","Geology, Geophysics, Shale Gas",https://glossary.slb.com/en/terms/a/aeolotropy
analog,"[Reservoir Characterization, Shale Gas] An example used for comparison. In oil and gas exploration, geoscientists and engineers compare new prospects and fields with fields and surface exposures thought to be similar in depositional environment and reservoir character to guide predictions. Wide variations in shale reservoirs create doubt about the utility of analog comparisons.","Reservoir Characterization, Shale Gas",https://glossary.slb.com/en/terms/a/analog
anisotropic,"[Geophysics, Geology, Shale Gas] Having directionally dependent properties. For a crystal of a mineral, variation in physical properties observed in different directions is anisotropy. In rocks, variation in seismic velocity measured parallel or perpendicular to bedding surfaces is a form of anisotropy. Often found where platy minerals such as micas and clays align parallel to depositional bedding as sediments are compacted, anisotropy is common in shales. Antonyms: isotropic","Geophysics, Geology, Shale Gas",https://glossary.slb.com/en/terms/a/anisotropic
anisotropy,"[Geophysics, Shale Gas, Geology] Predictable variation of a property of a material with the direction in which it is measured, which can occur at all scales. For a crystal of a mineral, variation in physical properties observed in different directions is anisotropy. In rocks, variation in seismic velocity measured parallel or perpendicular to bedding surfaces is a form of anisotropy. Often found where platy minerals such as micas and clays align parallel to depositional bedding as sediments are compacted, anisotropy is common in shales.","Geophysics, Shale Gas, Geology",https://glossary.slb.com/en/terms/a/anisotropy
azimuth,"1. (n.) [Geology] The angle between the vertical projection of a line of interest onto a horizontal surface and true north or magnetic north measured in a horizontal plane, typically measured clockwise from north. | 2. (n.) [Drilling] The compass direction of a directional survey or of the wellbore as planned or measured by a directional survey. The azimuth is usually specified in degrees with respect to the geographic or magnetic north pole. | 3. (n.) [Reservoir Characterization] The angle that characterizes a direction or vector relative to a reference direction (usually True North) on a horizontal plane. The azimuth is usually quoted in degrees from 0 to 359. | 4. (n.) [Drilling, Shale Gas] The direction in which a deviated or horizontal well is drilled relative to magnetic north. Most horizontal wells in shale reservoirs are drilled in the direction of the minimum horizontal stress. This allows for the creation of multiple hydraulic fractures that are normal to the wellbore.","Drilling; Drilling, Shale Gas; Geology; Reservoir Characterization",https://glossary.slb.com/en/terms/a/azimuth
basin,"[Geology, Shale Gas] A depression in the crust of the Earth, caused by plate tectonic activity and subsidence, in which sediments accumulate. Sedimentary basins vary from bowl-shaped to elongated troughs. Basins can be bounded by faults. Rift basins are commonly symmetrical; basins along continental margins tend to be asymmetrical. If rich hydrocarbon source rocks occur in combination with appropriate depth and duration of burial, then a petroleum system can develop within the basin. Most basins contain some amount of shale, thus providing opportunities for shale gas exploration and production.","Geology, Shale Gas",https://glossary.slb.com/en/terms/b/basin
bitumen,"1. (n.) [Geology] Naturally occurring, inflammable organic matter formed from kerogen in the process of petroleum generation that is soluble in carbon bisulfide. Bitumen includes hydrocarbons such as asphalt and mineral wax. Typically solid or nearly so, brown or black, bitumen has a distinctive petroliferous odor. Laboratory dissolution with organic solvents allows determination of the amount of bitumen in samples, an assessment of source rock richness. | 2. (n.) [Heavy Oil] A designation for a hydrocarbon fluid with a gravity of 10° API or lower, based upon the classification of the US Department of Energy. | 3. (n.) [Shale Gas] The fraction of naturally occurring, inflammable organic matter that is extractable from rock using organic solvents. Many petroleum precursors are composed of bitumen, but most are formed from kerogen in the process of petroleum generation. Bitumen includes hydrocarbons such as asphalt and mineral wax. Typically solid or nearly so, brown or black, bitumen has a distinctive petroliferous odor. Laboratory dissolution with organic solvents allows determination of the amount of bitumen in samples, an assessment of source rock richness. Burial and heating of kerogen yield bitumen, then liquid hydrocarbons, and then hydrocarbon gas. Understanding organic content is especially important in shale reservoirs because the shale is both the source rock and the reservoir rock in the petroleum system.",Geology; Heavy Oil; Shale Gas,https://glossary.slb.com/en/terms/b/bitumen
buffalo head,"[Shale Gas, Well Completions, Well Workover and Intervention] A flow cross installed on top of a frac tree where treating iron is connected and treatment fluid enters the frac tree.","Shale Gas, Well Completions, Well Workover and Intervention",https://glossary.slb.com/en/terms/b/buffalo_head
catagenesis,"[Geology, Shale Gas] The physical and chemical alteration of sediments and pore fluids at temperatures and pressures higher than those of diagenesis. Catagenesis involves heating in the range of 50 to 150 degC [122 to 302 degF]. At these temperatures, chemical bonds break down in kerogen and clays within shale, generating liquid hydrocarbons. At the high end of this temperature range, secondary cracking of oil molecules can generate gas molecules.","Geology, Shale Gas",https://glossary.slb.com/en/terms/c/catagenesis
