term,definition,disciplines,url
abrasion test,"[Drilling Fluids] A laboratory test to evaluate drilling-grade weighting material for potential abrasiveness. The test measures weight loss of a specially shaped, stainless steel mixer blade after 20 min at 11,000 rpm running in a laboratory-prepared mud sample. Abrasiveness is quantified by the rate of weight loss, reported in units of mg/min. Mineral hardness, particle size, and shape are the main parameters that affect abrasiveness of weighting materials. Some crystalline forms of hematite grind to a higher percentage of large particles than do other forms and are therefore more abrasive. Hematites are harder than barites, grind courser, and are more abrasive. Thus, a hematite that is proposed as a weighting material for mud is typically a candidate for abrasion testing.",Drilling Fluids,https://glossary.slb.com/en/terms/a/abrasion_test
absolute volume,"[Drilling Fluids] The volume a solid occupies or displaces when added to water divided by its weight, or the volume per unit mass. In the oil field, absolute volume is typically given in units of gallons per pound (galUS/lbm) or cubic meters per kilogram (m3/kg).",Drilling Fluids,https://glossary.slb.com/en/terms/a/absolute_volume
accretion,"[Drilling Fluids] The mechanism by which partially hydrated cuttings stick to parts of the bottomhole assembly and accumulate as a compacted, layered deposit.",Drilling Fluids,https://glossary.slb.com/en/terms/a/accretion
acetic acid,"[Well Completions, Drilling Fluids, Well Workover and Intervention] An organic acid used in oil- and gas-well stimulation treatments. Less corrosive than the commonly used hydrochloric acid, acetic acid treatments can be more easily inhibited or retarded for treatments of long duration. This is necessary particularly in applications requiring the protection of exotic alloys or in high-temperature wells. In most cases, acetic acid is used in conjunction with hydrochloric acid and other acid additives. It can also be used as a chelating agent.","Well Completions, Drilling Fluids, Well Workover and Intervention",https://glossary.slb.com/en/terms/a/acetic_acid
acid,"1. (adj.) [Drilling Fluids] Pertaining to an aqueous solution, such as a water-base drilling fluid, which has more hydrogen ions (H+) than hydroxyl ions (OH–) and pH less than 7. Antonyms: alkaline | 2. (n.) [Well Workover and Intervention] A generic term used to describe a treatment fluid typically comprising hydrochloric acid and a blend of acid additives. Acid treatments are commonly designed to include a range of acid types or blends, such as acetic, formic, hydrochloric, hydrofluoric, and fluoroboric acids. Applications for the various acid types or blends are based on the reaction characteristics of the prepared treatment fluid.",Drilling Fluids; Well Workover and Intervention,https://glossary.slb.com/en/terms/a/acid
acidity,"[Drilling Fluids] A chemical property of an aqueous system that implies that there are more hydrogen ions (H+) in the system, or a potential to produce more hydrogen ions, than there are hydroxyl ions (OH–), or potential to produce hydroxyl ions. Antonyms: alkalinity",Drilling Fluids,https://glossary.slb.com/en/terms/a/acidity
acrylamide acrylate polymer,"[Drilling Fluids] A linear copolymer of acrylate (anionic) and acrylamide (nonionic) monomers, also called partially-hydrolyzed polyacrylamide (PHPA). The ratio of acrylic acid to acrylamide groups on the polymer chain can be varied in manufacturing, as can molecular weight. Another variable is the base used to neutralize the acrylic acid groups, usually NaOH or KOH, or sometimes NH4OH. A concentration of approximately 10 to 30% acrylate groups provides optimal anionic characteristics for most drilling applications. High-molecular weight PHPA is used as a shale-stabilizing polymer in PHPA mud systems. It is also used as clay extender, either dry-mixed into clay or added at the rig to a low-bentonite mud. PHPA can also be used to flocculate colloidal solids during clear-water drilling and for wastewater cleanup. Low molecular-weight PHPA is a clay deflocculant.",Drilling Fluids,https://glossary.slb.com/en/terms/a/acrylamide_acrylate_polymer
acrylamide polymer,"[Drilling Fluids] A linear, nonionic polymer made of acrylamide monomers, CH2=CHCONH2 . High molecular-weight polyacrylamides are used as selective flocculants in clear-water drilling, low-solids muds and wastewater cleanup. Polymers made of smaller molecules are used as clay deflocculants in water muds, which can contain hardness ions. Polyacrylamides are not nearly as sensitive to salinity and hardness as the anionic polyacrylates (SPA). Also, being nonionic, they are not as powerful for flocculation or deflocculation applications. Acrylamide polymers are, however, susceptible to hydrolysis and release ammonia under hot, alkaline conditions.",Drilling Fluids,https://glossary.slb.com/en/terms/a/acrylamide_polymer
acrylamido-methyl-propane sulfonate polymer,"[Drilling Fluids] A copolymer of 2-acrylamido-2methyl propane sulfonate and acrylamide. AMPS polymers are highly water-soluble anionic additives designed for high-salinity and high-temperature water-mud applications. (Alkyl-substituted acrylamide can be used instead of ordinary acrylamide, which lessens its vulnerability to hydrolysis at high temperature and high pH.) Polymers from 0.75 to 1.5 MM molecular weight are suggested for fluid-loss control in these difficult muds. Reference: Perricone AC, Enright DP and Lucas JM: ""Vinyl Sulfonate Copolymers for High-Temperature Filtration Control of Water-Base Muds,"" SPE Drilling Engineering 1, no. 5 (October 1986): 358-364.",Drilling Fluids,https://glossary.slb.com/en/terms/a/acrylamido-methyl-propane_sulfonate_polymer
acrylate polymer,"[Drilling Fluids] Linear, anionic polymer made from the monomer acrylic acid, CH2=CHCOO– H+. The acrylic acid groups are evenly spaced along the chain. Acrylic acid polymer neutralized with NaOH is sodium polyacrylate (SPA). Polyacrylates are best utilized in soft water with low salinity to achieve the best dispersion and full chain elongation. Even low concentrations of hardness ions, for example, Ca+2, precipitate polyacrylates. Low molecular-weight polyacrylates are used as clay deflocculants. High molecular weight polymers are used for fluid-loss control and as a clay extender. As an extender, SPA is added to bentonite at the grinding plant. It is also used at the rig in low-solids mud. Divalent cations can negate its benefits as a clay extender. SPA is highly efficient when used to flocculate colloids in native-solids muds, clear-water muds and wastewater cleanup. The polymer chain links together colloidal solids that can be removed by gravity settling in shallow pits or by applying hydrocyclone, centrifuge or filtration techniques.",Drilling Fluids,https://glossary.slb.com/en/terms/a/acrylate_polymer
