term,definition,disciplines,url
acid number,[Enhanced Oil Recovery] A measure of the amount of acidic components present in a crude oil. This measurement is the mass of potassium hydroxide (KOH) in milligrams titrated into a one-gram sample of oil—such as stock-tank oil—that is required reach a neutral pH of 7. The test is performed under ASTM Standard D664.,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/a/acid_number
adhesion tension,"[Enhanced Oil Recovery] In a system with two immiscible fluids in contact with a solid, the difference in the two fluid-solid surface tensions. In thermodynamic equilibrium this difference is equivalent as a result of the Young-Laplace equation to the product of the interfacial tension between the two fluids and the cosine of the contact angle at the fluid/fluid/solid interface. As the combination of these two individual interfacial terms, adhesion tension is a useful measure of the wetting character of a petroleum reservoir's pore system.",Enhanced Oil Recovery,https://glossary.slb.com/en/terms/a/adhesion_tension
adsorption,"[Production Facilities, Enhanced Oil Recovery] The property of some solids and liquids to attract a liquid or a gas to their surfaces. Some solids, such as activated charcoal or silica gel, are used as surfaces of adhesion to gather liquid hydrocarbons from a natural gas stream. To complete the process, the solids are treated with steam to recover the liquid hydrocarbons.","Production Facilities, Enhanced Oil Recovery",https://glossary.slb.com/en/terms/a/adsorption
alkaline flooding,"[Enhanced Oil Recovery] An enhanced oil recovery technique in which an alkaline chemical such as sodium hydroxide, sodium orthosilicate or sodium carbonate is injected during polymer flooding or waterflooding operations. The alkaline chemical reacts with certain types of oils, forming surfactants inside the reservoir. Eventually, the surfactants reduce the interfacial tension between oil and water and trigger an increase in oil production. Alkaline flooding is not recommended for carbonate reservoirs because of the abundance of calcium: the mixture between the alkaline chemical and the calcium ions can produce hydroxide precipitation that may damage the formation. Alkaline flooding is also known as caustic flooding.",Enhanced Oil Recovery,https://glossary.slb.com/en/terms/a/alkaline_flooding
alkaline-surfactant-polymer flooding,"[Enhanced Oil Recovery] A chemical enhanced oil recovery flood that uses two sources of surfactant and a polymer. Alkaline chemicals such as sodium carbonate react with acidic oil components in situ to create petroleum soap, which is one of the surfactants. A synthetic surfactant is injected simultaneously with the alkali. A water-soluble polymer is also injected, both in mixture with the alkali and surfactant and as a slug following the mixture, to increase the viscosity of the injectant, thereby improving mobility control of the flood fronts.",Enhanced Oil Recovery,https://glossary.slb.com/en/terms/a/alkaline-surfactant-polymer_flooding
API gravity,"[Enhanced Oil Recovery, Heavy Oil] A specific gravity scale developed by the American Petroleum Institute (API) for measuring the relative density of various petroleum liquids, expressed in degrees. API gravity is gradated in degrees on a hydrometer instrument and was designed so that most values would fall between 10° and 70° API gravity. The arbitrary formula used to obtain this effect is: API gravity = (141.5/SG at 60 degF) – 131.5, where SG is the specific gravity of the fluid.","Enhanced Oil Recovery, Heavy Oil",https://glossary.slb.com/en/terms/a/api_gravity
areal displacement efficiency,"[Enhanced Oil Recovery] In a reservoir waterflood or other fluid injection using a well pattern, the fraction of the pattern area from which reservoir fluid is displaced by the injected phase at the time of breakthrough. Parameters such as formation dip angle and dip azimuth, presence of fractures, mobility ratio, injection pattern and directional permeability affect areal displacement efficiency (EA).",Enhanced Oil Recovery,https://glossary.slb.com/en/terms/a/areal_displacement_efficiency
areal sweep efficiency,"[Enhanced Oil Recovery] In a reservoir waterflood or other fluid injection using a well pattern, the fraction of the pattern area from which reservoir fluid is displaced by the injected phase at the time of breakthrough. Parameters such as formation dip angle and dip azimuth, presence of fractures, mobility ratio, injection pattern, and directional permeability affect areal displacement efficiency (EA).",Enhanced Oil Recovery,https://glossary.slb.com/en/terms/a/areal_sweep_efficiency
ASP flooding,"[Enhanced Oil Recovery] A chemical enhanced oil recovery flood that uses two sources of surfactant and a polymer. Alkaline chemicals such as sodium carbonate react with acidic oil components in situ to create petroleum soap, which is one of the surfactants. A synthetic surfactant is injected simultaneously with the alkali. A water-soluble polymer is also injected, both in mixture with the alkali and surfactant and as a slug following the mixture, to increase the viscosity of the injectant, thereby improving mobility control of the flood fronts.",Enhanced Oil Recovery,https://glossary.slb.com/en/terms/a/asp_flooding
asphaltene onset concentration,[Enhanced Oil Recovery] The minimum concentration of solvent injected into a reservoir oil at a given test pressure and temperature that causes asphaltene particles to precipitate from the oil.,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/a/asphaltene_onset_concentration
asphaltene onset pressure,"[Enhanced Oil Recovery] As pressure decreases, the pressure at a given test temperature that first causes asphaltene to precipitate from a reservoir fluid.",Enhanced Oil Recovery,https://glossary.slb.com/en/terms/a/asphaltene_onset_pressure
asphaltene precipitation,"[Enhanced Oil Recovery] The flocculation of asphaltene particles from reservoir fluid. The precipitation is typically measured at specific conditions of temperature and pressure, such as at reservoir or flowline conditions.",Enhanced Oil Recovery,https://glossary.slb.com/en/terms/a/asphaltene_precipitation
asphaltenes,"[Enhanced Oil Recovery] Organic materials consisting of aromatic and naphthenic ring compounds containing nitrogen, sulfur and oxygen molecules. The asphaltene fraction of crude is defined as the organic part of the oil that is not soluble in straight-chain solvents such as pentane or heptane. Asphaltenes exist as a colloidal suspension stabilized by resin molecules (aromatic ring systems) in the oil. The stability of asphaltic dispersions depends on the ratio of resin to asphaltene molecules. The determination of the quantity of resin is important in estimating the potential damage created by asphaltenes. Asphaltene precipitates as a result of pressure drop, shear (turbulent flow), acids, solution carbon dioxide (CO2), injected condensate, mixing of incompatible crude oils or other conditions or materials that break the stability of the asphaltic dispersion. For example, in matrix acidizing, iron ions in solution favor the precipitation of asphaltene deposits.",Enhanced Oil Recovery,https://glossary.slb.com/en/terms/a/asphaltenes
backward multiple-contact test,[Enhanced Oil Recovery] A laboratory test to determine the phase envelope between oil and enriched gas. The test is conducted by equilibrating an oil sample several times with fresh samples of gas. Intermediate components are stripped from the gas by multiple contacts with the oil. The test also indicates how many contacts are required before the oil with added intermediate components becomes miscible with the gas. The molar ratios at each contact step are typically designed using PVT simulation software that incorporates the fluid composition from the previous contact.,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/b/backward_multiple-contact_test
batch treatment,"[Enhanced Oil Recovery] The pumping of a specific amount of treatment fluid, such as cement slurry, stimulation fluid, well completion fluid, or chemical corrosion inhibitor. In corrosion control, there are several batch-treating techniques, such as tubing displacement and standard batch treatments, which are used to place the corrosion inhibitor in an oil or gas well.",Enhanced Oil Recovery,https://glossary.slb.com/en/terms/b/batch_treatment
bimetallic corrosion,"[Enhanced Oil Recovery] A type of corrosion in which two different metals are placed in contact in a corrosive environment. A small electric current flows from one piece of metal to the other, accelerating the corrosion rate of the more reactive of the two metals. Bimetallic corrosion is sometimes found when new pipe is added to old pipelines. The old pipeline covered by oxide and rust is cathodic to the new pipe, thus accelerating the corrosion rate in the new pipe. Another type of bimetallic corrosion is ringworm corrosion.",Enhanced Oil Recovery,https://glossary.slb.com/en/terms/b/bimetallic_corrosion
Bond number,"[Enhanced Oil Recovery] A dimensionless group used in analysis of fluid flow that characterizes the ratio of gravitational forces to surface or interfacial tension forces. It is usually denoted Nb in the oil field and Bo in chemical engineering. A value of Nb <<1 implies the flow in question is only weakly dependent on gravitational forces, whereas Nb >>1 implies gravitational forces dominate over interfacial forces. Bond number equation: Nb = Bo = (Δρ g b2) / σ, where Nb = Bo = Bond number Δρ = density difference between the two phases g = acceleration due to gravity b = a characteristic length scale of the flow geometry σ = surface or interfacial tension.",Enhanced Oil Recovery,https://glossary.slb.com/en/terms/b/bond_number
