term,definition,disciplines,url
adversarial attack,"[Digital] An adversarial attack is a technique where intentionally crafted inputs are fed to AI models to deceive or mislead them into making incorrect predictions or classifications. Relevance to business: Adversarial attacks highlights vulnerabilities in AI systems, necessitating robust security and testing to protect critical applications from exploitation, reduce risk, and ensure reliability.",Digital,https://glossary.slb.com/en/terms/a/adversarial_attack
agent-to-agent (a2a),"[Digital] Agent-to-agent, or A2A, is a paradigm where autonomous AI agents communicate and collaborate directly with each other to complete tasks, exchange information, or coordinate actions without human intervention. Relevance to business: A2A enables the creation of complex, automated business processes, reduces manual intervention, and facilitates more efficient and scalable operations in digital ecosystems.",Digital,https://glossary.slb.com/en/terms/a/agent_to_agent
agentic ai,"[Digital] Agentic AI is an advanced form of AI that can act with a high degree of autonomy—multiple AI components work together like a team, managing tasks, learning over time, and adjusting their approach, without constant human input. Instead of doing just one thing, agentic AI systems plan, coordinate, and adapt to handle more complex and changing problems—like acting as a research assistant, running diagnostics across systems, or AI-led scenario planning. Relevance to business: Agentic AI holds transformative value by unlocking scalable decision making and adaptive workflows that would otherwise require teams of specialists. See how it works: Tela™ agentic-AI assistant built for energy",Digital,https://glossary.slb.com/en/terms/a/agentic_ai
ai accelerator,"[Digital] An AI accelerator is a tool, program, or initiative designed to speed up the adoption of AI technologies. Relevance to business: An AI accelerator helps reduce time-to-value by providing reusable components, frameworks, pre-trained models, specific hardware, e.g. graphics processing unit (GPU), best practices, and other solutions that can jump-start AI initiatives.",Digital,https://glossary.slb.com/en/terms/a/ai_accelerator
ai agent,"[Digital] An AI agent is a modular software tool—typically powered by large language or image models—that is designed to perform narrow, well-defined tasks, such as summarizing documents, extracting data, or automating customer responses. These agents often rely on tool integrations, prompt engineering, and basic reasoning chains to accomplish their objectives within constrained workflows. Relevance to business: AI agents can automate decision-making processes, reducing the need for human intervention during routine or high frequency tasks, like knowledge management, support ticket triage, and operational reporting.",Digital,https://glossary.slb.com/en/terms/a/ai_agent
ai ethics,"[Digital] AI ethics are principles guiding responsible design, development, and use of AI. Relevance to business: Ethical principles engender trust and accountability with customers, partners, and regulators by ensuring AI solutions are transparent, fair, and compliant with emerging standards. They also reduce legal and reputational risks.",Digital,https://glossary.slb.com/en/terms/a/ai_ethics
algorithm,"[Digital] An algorithm is a set of rules or instructions for solving problems. Relevance to business: Algorithms enable companies to process large volumes of data efficiently, and drives decision making and automation in AI systems.",Digital,https://glossary.slb.com/en/terms/a/algorithm
algorithmic bias,"[Digital] Algorithmic bias refers to bias in AI outcomes due to biased training data or design. Relevance to business: Algorithmic bias can lead to decisions that unintentionally favor or disadvantage certain groups or outcomes. Important for fairness, regulatory compliance, and company reputation.",Digital,https://glossary.slb.com/en/terms/a/algorithmic_bias
alignment,"[Digital] Alignment ensures that an AI system’s objectives, outputs, and behaviors are consistent with the values, goals, and risk tolerances of the business using it. Relevance to business: Alignment is critical for trust, regulatory compliance, and operational reliability, to ensure safe and beneficial AI deployment. Technologies and services such as model fine-tuning, human-in-the-loop feedback loops, safety guardrails, domain-specific training data, and governance frameworks are employed to keep AI decisions transparent and predictable.",Digital,https://glossary.slb.com/en/terms/a/alignment
application programming interface (API),"[Digital] An application programming interface, more commonly known by its initialism, API, is a set of computer protocols and tools that allow different software applications and systems to communicate. Relevance to business: APIs enable faster deployment and innovation by connecting disparate systems, automating workflows, and extending capabilities with partner ecosystems. See related Insights Articles: Digital supply chain cybersecurity in oil and gas",Digital,https://glossary.slb.com/en/terms/a/application_programming_interface
artificial general intelligence (AGI),"[Digital] AI with human-level cognitive capabilities is known as artificial general intelligence or AGI. It is important to note that this technology is conceptual and there is intense debate over if and when early forms of AGI may be officially recognized. Relevance to business: If successfully developed, AGI would perform routine tasks and human-level cognitive tasks, such as research and strategic planning, leading to higher efficiency and cost reduction.",Digital,https://glossary.slb.com/en/terms/a/artificial_general_intelligence
artificial intelligence,"[Digital] Artificial intelligence is a computer system that simulates human intelligence. AI can take many forms, including: Predictive AI (also known as machine learning)—uses data to make forecasts or classifications. Generative AI—creates new content such as text, images, or code. Agentic AI—acts autonomously to plan and execute tasks to achieve goals. Relevance to business: AI is used in automation, decision making, and predictive analytics solutions. It can increase business efficiency, help reduce cost, improve the speed and quality of decision making, and increase a company’s competitive advantage.",Digital,https://glossary.slb.com/en/terms/a/artificial_intelligence
artificial intelligence (AI),"[Digital] Artificial intelligence is a computer system that simulates human intelligence. AI can take many forms, including: Predictive AI (also known as machine learning)—uses data to make forecasts or classifications. Generative AI—creates new content such as text, images, or code. Agentic AI—acts autonomously to plan and execute tasks to achieve goals. Relevance to business: AI is used in automation, decision making, and predictive analytics solutions. It can increase business efficiency, help reduce cost, improve the speed and quality of decision making, and increase a company’s competitive advantage.",Digital,https://glossary.slb.com/en/terms/a/artificial_intelligence
artificial superintelligence (ASI),"[Digital] ASI is a term used for AI that surpasses human intelligence. It is important to note that this technology is conceptual; it has not been developed to date. Relevance to business: Discussions about ASI are speculative, as the technology currently does not yet exist, but is important for strategic foresight.",Digital,https://glossary.slb.com/en/terms/a/artificial_superintelligence
attention mechanism,"[Digital] Attention mechanism is a technique in AI models that allows the system to focus on the most relevant parts of input data when making predictions. Relevance to business: Attention mechanism improves performance of models in tasks such as language translation, document summarization, and image captioning (leading to more accurate and context-aware AI outputs).",Digital,https://glossary.slb.com/en/terms/a/attention_mechanism
big data,"[Digital] Big data refers to large and complex datasets; they require advanced tools to analyze. Relevance to business: Using data-driven strategies, big data enables more accurate predictive analytics, better customer insights, and optimized operations.",Digital,https://glossary.slb.com/en/terms/b/big_data
