term,definition,disciplines,url
additivity,"[Reservoir Characterization] A property of semivariogram models. Any linear combination of admissible models with positive coefficients can be nested or added together. Generally, single models are used for modeling experimental semivariograms that are close in shape to one of the basic admissible models, or for the approximate fitting of complex structural functions. Nested models are used to better fit complex structural functions. Reference: Olea RA: ""Fundamentals of Semivariogram Estimation, Modeling, and Usage,"" in Yarus JM and Chambers RL (eds): Stochastic Modeling and Geostatistics, AAPG Computer Applications in Geology, no. 3. AAPG, Tulsa, Oklahoma, USA, 1994.",Reservoir Characterization,https://glossary.slb.com/en/terms/a/additivity
advective transport modeling,"[Reservoir Characterization] A series of techniques that use geostatistical methods to determine fluid and contaminant flow in the subsurface. These techniques are used primarily to study contamination in groundwater in environmental studies. Reference: McKenna SA and Poeter EP: ""Simulating Geological Uncertainty with Imprecise Data for Groundwater Flow and Advective Transport Modeling,"" in Yarus JM and Chambers RL (eds): Stochastic Modeling and Geostatistics, AAPG Computer Applications in Geology, no. 3. AAPG, Tulsa, Oklahoma, USA, 1994.",Reservoir Characterization,https://glossary.slb.com/en/terms/a/advective_transport_modeling
analog,"[Reservoir Characterization, Shale Gas] An example used for comparison. In oil and gas exploration, geoscientists and engineers compare new prospects and fields with fields and surface exposures thought to be similar in depositional environment and reservoir character to guide predictions. Wide variations in shale reservoirs create doubt about the utility of analog comparisons.","Reservoir Characterization, Shale Gas",https://glossary.slb.com/en/terms/a/analog
arithmetic mean,[Reservoir Characterization] A mathematical method of finding a central value for a group of data. It is most often referred to as the average but also as the mean. The arithmetic mean is the sum of all the observed values divided by the number of observations.,Reservoir Characterization,https://glossary.slb.com/en/terms/a/arithmetic_mean
azimuth,"1. (n.) [Geology] The angle between the vertical projection of a line of interest onto a horizontal surface and true north or magnetic north measured in a horizontal plane, typically measured clockwise from north. | 2. (n.) [Drilling] The compass direction of a directional survey or of the wellbore as planned or measured by a directional survey. The azimuth is usually specified in degrees with respect to the geographic or magnetic north pole. | 3. (n.) [Reservoir Characterization] The angle that characterizes a direction or vector relative to a reference direction (usually True North) on a horizontal plane. The azimuth is usually quoted in degrees from 0 to 359. | 4. (n.) [Drilling, Shale Gas] The direction in which a deviated or horizontal well is drilled relative to magnetic north. Most horizontal wells in shale reservoirs are drilled in the direction of the minimum horizontal stress. This allows for the creation of multiple hydraulic fractures that are normal to the wellbore.","Drilling; Drilling, Shale Gas; Geology; Reservoir Characterization",https://glossary.slb.com/en/terms/a/azimuth
Bayesian inference,[Reservoir Characterization] An inference or deduction made using Bayes's theorem. Bayesian inference also is used in performing stochastic analyses of geological scenarios or building stochastic models of geological environments.,Reservoir Characterization,https://glossary.slb.com/en/terms/b/bayesian_inference
Bayesian method,[Reservoir Characterization] A method of updating distributions that requires that prior distributions of the required geological characteristics are defined and that calculation of the posterior distributions be based on an exact stochastic model.,Reservoir Characterization,https://glossary.slb.com/en/terms/b/bayesian_method
Bayesian probability,[Reservoir Characterization] A probability based on Bayes's theorem of interdependent events occurring interdependently.,Reservoir Characterization,https://glossary.slb.com/en/terms/b/bayesian_probability
bivariate analysis,[Reservoir Characterization] Analysis of two datasets that determines whether or not the data are related and describes the best relationship between them. Crossplots are often used to visualize potential bivariate relationships. Regression methods frequently help determine the best equation to fit to the data and the goodness of the fit.,Reservoir Characterization,https://glossary.slb.com/en/terms/b/bivariate_analysis
Boltzmann probability distribution,[Reservoir Characterization] One of a number of possible distributions that may occur when the results of events are plotted. Boltzmann distributions were originally described from theoretical consideration on the probable interactions of molecules. It has been used in simulation of annealing and can be used for studying perturbations in geostatistical models.,Reservoir Characterization,https://glossary.slb.com/en/terms/b/boltzmann_probability_distribution
Boolean simulation,"[Reservoir Characterization] The development of a reservoir model by the use of objects. Reservoir models can be developed by adding together a series of objects (such as channel belts) in a fashion that honors the well data (logs, cores, etc.) and that satisfies all the geostatistical requirements of the model. Such models can be used to simulate the behavior of the fluids in a reservoir.",Reservoir Characterization,https://glossary.slb.com/en/terms/b/boolean_simulation
box plots,"[Reservoir Characterization] A grid pattern laid over a representation of fractures. The number of boxes that contain a fracture is counted and plotted against the box size on logarithmic scales. The slope of the line is equal to minus the fractal dimension. This is sometimes referred to as the box ""dimension.""",Reservoir Characterization,https://glossary.slb.com/en/terms/b/box_plots
Briggs color cube,"[Reservoir Characterization] A system for color-coding three-dimensional information. This system is used in wireline log analysis to provide color shading in which the final color is determined by the values of three curves. One curve dictates the intensity of red, a second the intensity of green, and the third the intensity of blue. The final resulting color is the result of the three input curves. The input curves may be raw curves from the field or computed curves. When used for correlation work on cross sections, the curves must have been normalized to remove the effects of incorrect calibrations and borehole problems. Reference: Doveton JH: Geologic Log Analysis Using Computer Methods, AAPG Computer Applications in Geology, No. 2. AAPG, Tulsa, Oklahoma, USA (1994): 39-41.",Reservoir Characterization,https://glossary.slb.com/en/terms/b/briggs_color_cube
