term,definition,disciplines,url
AC Generator (or Alternator),An electric device that produces an electric current that reverses direction many times per second. Also called a synchronous generator.,,https://www.energy.gov/eere/fuelcells/glossary#ac_generator
Adsorption,"The adhesion of the molecules of gases, dissolved substances, or liquids to the surface of the solids or liquids with which they are in contact.",,https://www.energy.gov/eere/fuelcells/glossary
Air,"The mixture of oxygen, nitrogen, and other gases that, with varying amounts of water vapor, forms the atmosphere of the earth.",,https://www.energy.gov/eere/fuelcells/glossary
Alkaline Fuel Cell (AFC),A type of hydrogen/oxygen fuel cell in which the electrolyte is concentrated potassium hydroxide (KOH) and the hydroxide ions (OH-) are transported from the cathode to the anode.,,https://www.energy.gov/eere/fuelcells/glossary#afc
Alloy,"Mixture containing mostly metals. For example, brass is an alloy of copper and zinc. Steel contains iron and other metals but also carbon.",,https://www.energy.gov/eere/fuelcells/glossary#alloy
Alternating Current (AC),A type of current that flows from positive to negative and from negative to positive in the same conductor.,,https://www.energy.gov/eere/fuelcells/glossary#ac
Alternative Fuel,"An alternative to gasoline or diesel fuel that is not produced in a conventional way from crude oil. Examples include compressed natural gas (CNG), liquefied petroleum gas (LPG), liquefied natural gas (LNG), ethanol, methanol, and hydrogen.",,https://www.energy.gov/eere/fuelcells/glossary#alternative_fuel
Ambient Air,The air surrounding a given object or system.,,https://www.energy.gov/eere/fuelcells/glossary#ambient_air
Ambient Temperature,"The temperature of the surrounding medium, usually used to refer to the temperature of the air in which a structure is situated or a device operates.",,https://www.energy.gov/eere/fuelcells/glossary#ambient_temperature
Anion,A negatively charged ion; an ion that is attracted to the anode.,,https://www.energy.gov/eere/fuelcells/glossary
Anode,"The electrode at which oxidation (a loss of electrons) takes place. For fuel cells and other galvanic cells, the anode is the negative terminal; for electrolytic cells (where electrolysis occurs), the anode is the positive terminal.",,https://www.energy.gov/eere/fuelcells/glossary#anode
Atmospheric Pressure,"The force exerted by the movement of air in the atmosphere, usually measured in units of force per area. For fuel cells, atmospheric pressure is usually used to describe a system where the only pressure acting on the system is from the atmosphere; no external pressure is applied.",,https://www.energy.gov/eere/fuelcells/glossary#atmospheric_pressure
Atom,"The smallest physical unit of a chemical element that can still retain all the physical and chemical properties of that element. Atoms combine to form molecules, and they themselves contain several kinds of smaller particles. An atom has a dense central core (the nucleus) consisting of positively charged particles (protons) and uncharged particles (neutrons). Negatively charged particles (electrons) are scattered in a relatively large space around this nucleus and move about it in orbital patterns at extremely high speeds. An atom contains the same number of protons as electrons and thus is electrically neutral (uncharged) and stable under most conditions.",,https://www.energy.gov/eere/fuelcells/glossary#atom
Battery,An energy storage device that produces electricity by means of chemical action. It consists of one or more electric cells each of which has all the chemicals and parts needed to produce an electric current.,,https://www.energy.gov/eere/fuelcells/glossary#battery
Bipolar Plates,The Conductive plate in a fuel cell stack that acts as an anode for one cell and a cathode for the adjacent cell. The plate may be made of metal or a conductive polymer (which may be a carbon-filled composite). The plate usually incorporates flow channels for the fluid feeds and may also contain conduits for heat transfer.,,https://www.energy.gov/eere/fuelcells/glossary#bipolar_plates
British Thermal Unit (Btu),The mean British thermal unit is 1/180 of the heat required to raise the temperature of one pound (1 lb) of water from 32°F to 212°F at a constant atmospheric pressure. The Btu is equal to the quantity of heat required to raise one pound (1 lb) of water 1°F.,,https://www.energy.gov/eere/fuelcells/glossary#btu
Carbon (C),"An atom and primary constituent of hydrocarbon fuels. Carbon is routinely left as a black deposit on engine parts, such as pistons, rings, and valves, by the combustion of fuel.",,https://www.energy.gov/eere/fuelcells/glossary#carbon
Carbon Dioxide (CO2),"A colorless, odorless, noncombustible gas that is slightly more than 1.5 times as dense as air and becomes a solid (dry ice) below -78.5°C. It is present in the atmosphere as a result of the decay of organic material and the respiration of living organisms. It is produced by the burning of wood, coal, coke, oil, natural gas, or other fuels containing carbon.",,https://www.energy.gov/eere/fuelcells/glossary#co2
Carbon Monoxide (CO),"A colorless, odorless, tasteless, poisonous gas that results from incomplete combustion of carbon with oxygen.",,https://www.energy.gov/eere/fuelcells/glossary#co
Catalyst,"A chemical substance that increases the rate of a reaction without being consumed; after the reaction, it can potentially be recovered from the reaction mixture and is chemically unchanged. The catalyst lowers the activation energy required, allowing the reaction to proceed more quickly or at a lower temperature. In a fuel cell, the catalyst facilitates the reaction of oxygen and hydrogen. It is usually made of platinum powder very thinly coated onto carbon paper or cloth. The catalyst is rough and porous so the maximum surface area of the platinum can be exposed to the hydrogen or oxygen. The platinum-coated side of the catalyst faces the membrane in the fuel cell.",,https://www.energy.gov/eere/fuelcells/glossary#catalyst
Catalyst Poisoning,"The process of impurities binding to a fuel cell's catalyst, lowering the catalyst's ability to facilitate the desired chemical reaction. See also fuel cell poisoning.",,https://www.energy.gov/eere/fuelcells/glossary#catalyst_poisoning
Cathode,"The electrode at which reduction (a gain of electrons) occurs. For fuel cells and other galvanic cells, the cathode is the positive terminal; for electrolytic cells (where electrolysis occurs), the cathode is the negative terminal.",,https://www.energy.gov/eere/fuelcells/glossary#cathode
Cation,A positively charged ion.,,https://www.energy.gov/eere/fuelcells/glossary
Celsius,"The metric temperature scale and unit of temperature (°C). Named for Swedish astronomer Anders Celsius (1701–1744) even though the thermometer first advocated by him in 1743 had 100° as the freezing point of water and 0° as the boiling point, the reverse of the modern Celsius scale. Also called the Centigrade scale (Latin for ""hundred degrees"").",,https://www.energy.gov/eere/fuelcells/glossary#celsius
Centimeter (cm),"A metric unit of linear measure. One centimeter equals about 0.4 inch, and one inch equals about 2.5 centimeters. One foot is equal to approximately 30 centimeters.",,https://www.energy.gov/eere/fuelcells/glossary
Combustion,"The burning fire produced by the proper combination of fuel, heat, and oxygen. In the engine, the rapid burning of the air-fuel mixture that occurs in the combustion chamber.",,https://www.energy.gov/eere/fuelcells/glossary#combustion
Combustion Chamber,"In an internal combustion engine, the space between the top of the piston and the cylinder head in which the air-fuel mixture is burned.",,https://www.energy.gov/eere/fuelcells/glossary#combustion_chamber
Composite,"Material created by combining materials differing in composition or form on a macroscale to obtain specific characteristics and properties. The constituents retain their identity; they can be physically identified, and they exhibit an interface among one another.",,https://www.energy.gov/eere/fuelcells/glossary
Compressed Hydrogen Gas (CHG),Hydrogen gas compressed to a high pressure and stored at ambient temperature.,,https://www.energy.gov/eere/fuelcells/glossary
Compressed Natural Gas (CNG),"Mixtures of hydrocarbon gases and vapors, consisting principally of methane in gaseous form that has been compressed.",,https://www.energy.gov/eere/fuelcells/glossary#cng
Compressor,A device used for increasing the pressure and density of gas. Also see Turbocharger.,,https://www.energy.gov/eere/fuelcells/glossary
Cryogenic Liquefaction,"The process through which gases such as nitrogen, hydrogen, helium, and natural gas are liquefied under pressure at very low temperatures.",,https://www.energy.gov/eere/fuelcells/glossary
Current Collector,The conductive material in a fuel cell that collects electrons (on the anode side) or disburses electrons (on the cathode side). Current collectors are microporous (to allow fluid to flow through them) and lie in between the catalyst/electrolyte surfaces and the bipolar plates.,,https://www.energy.gov/eere/fuelcells/glossary#current_collector
Density,The amount of mass in a unit volume. Density varies with temperature and pressure.,,https://www.energy.gov/eere/fuelcells/glossary#density
Direct Methanol Fuel Cell (DMFC),A type of fuel cell in which the fuel is methanol (CH3OH) in gaseous or liquid form. The methanol is oxidized directly at the anode instead of first being reformed to produce hydrogen. The electrolyte is typically a PEM.,,https://www.energy.gov/eere/fuelcells/glossary#dmfc
Dispersion,The spatial property of being scattered over an area or volume.,,https://www.energy.gov/eere/fuelcells/glossary
Electrode,A conductor through which electrons enter or leave an electrolyte. Batteries and fuel cells have a negative electrode (the anode) and a positive electrode (the cathode).,,https://www.energy.gov/eere/fuelcells/glossary#electrode
