term,definition,disciplines,url
accumulator,"[Production, Well Workover and Intervention] A device used in a hydraulic system to store energy or, in some applications, dampen pressure fluctuations. Energy is stored by compressing a precharged gas bladder with hydraulic fluid from the operating or charging system. Depending on the fluid volume and precharge pressure of the accumulator, a limited amount of hydraulic energy is then available independent of any other power source. Well pressure-control systems typically incorporate sufficient accumulator capacity to enable the blowout preventer to be operated with all other power shut down.","Production, Well Workover and Intervention",https://glossary.slb.com/en/terms/a/accumulator
adapter spool,"[Production] An extension added to a short face-to-face valve to conform to standard API 6D (or ISO 14313: 1999) face-to-face dimensions. API 6D specifies requirements and gives recommendations for the design, manufacturing, testing and documentation of ball, check, gate and plug valves for application in pipeline systems.",Production,https://glossary.slb.com/en/terms/a/adapter-spool
all-welded construction,"[Production] As it pertains to a valve construction, a valve body that is completely welded and cannot be disassembled and repaired in the field.",Production,https://glossary.slb.com/en/terms/a/all-welded-construction
anchor pin,[Production] A pin welded to the body of a ball valve. This pin aligns the adapter plate and keeps the plate and gear operator from moving while the valve is being operated.,Production,https://glossary.slb.com/en/terms/a/anchor-pin
angle valve,"[Production] A variation of the globe valve in which the end connections are at right angles to each other, rather than being in line.",Production,https://glossary.slb.com/en/terms/a/angle-valve
API Spec 6D: Specification for Pipeline Valves,"[Production] API Spec 6D specifies requirements and gives recommendations for the design, manufacturing, testing and documentation of ball, check, gate, and plug valves for application in pipeline systems.",Production,https://glossary.slb.com/en/terms/a/api-6d
ASME,"[Production] Abbreviation for the American Society of Mechanical Engineers, a professional association that was founded in 1880. It ""promotes the art, science, and practice of multidisciplinary engineering and allied sciences around the globe"" via ""continuing education, training and professional development, codes and standards, research, conferences and publications, government relations, and other forms of outreach."" The ASME develops codes and standards associated with the art, science, and practice of mechanical engineering that are accepted in more than 100 countries.",Production,https://glossary.slb.com/en/terms/a/asme
ball valve,[Production] A valve using a spherical closure element (ball) which is rotated through 90° to open and close the valve.,Production,https://glossary.slb.com/en/terms/b/ball-valve
bevel-gear-operated (BGO) valve,[Production] A gate valve actuated by means of a set of bevel gears having the axis of the pinion gear at right angles to that of the larger ring gear. The reduction ratio of this gear set determines the multiplication of torque achieved.,Production,https://glossary.slb.com/en/terms/b/bevel-gear-operated-valve
block valve,[Production] A valve that isolates or blocks possible leaks in case of an emergency situation.,Production,https://glossary.slb.com/en/terms/b/block-valve
