term,definition,disciplines,url
API,"[General Terms] Abbreviation for American Petroleum Institute, a trade association founded in 1919 with offices in Washington, DC, USA. The API is sponsored by the oil and gas industry and is recognized worldwide. Among its long-term endeavors is the development of standardized testing procedures for drilling equipment, drilling fluids and cements, called API Recommended Practices (""RPs""). The API licenses the use of its monogram (logo), monitors supplier quality assurance methods and sets minimum standards for materials used in drilling and completion operations, called API Specifications (""Specs""). The API works in conjunction with the International Organization of Reference: Recommended Practice on the Rheology and Hydraulics of Oil-Well Drilling Fluids, 3rd ed. Washington, DC, USA: American Petroleum Institute, 1995. Recommended Practice Standard Procedure for Laboratory Testing of Drilling Fluids, 5th ed. Washington, DC, USA: American Petroleum Institute, 1995.",General Terms,https://glossary.slb.com/en/terms/a/api
GIIP,"[General Terms, Shale Gas] Abbreviation for gas initially in place, the volume of gas in a reservoir before production.","General Terms, Shale Gas",https://glossary.slb.com/en/terms/g/giip
international nautical mile,"[General Terms] A unit of distance used for marine and aerial navigation. An international nautical mile is approximately equivalent to the angle of one minute of latitude at Earth’s surface. The conventional value for the nautical mile was established at the First International Extraordinary Hydrographic Conference held in the Principality of Monaco in 1929 and named the international nautical mile. In SI units, the international nautical mile is equal to exactly 1,852 m, which is approximately 6,076 ft. Reference: Bureau International des Poids et Mesures: The International System of Units (SI), 8th edition. Paris: Organisation Intergouvernementale de la Convention du Mètre, 2006.",General Terms,https://glossary.slb.com/en/terms/i/international_nautical_mile
knot,"[General Terms] A unit of speed used for marine and aerial navigation. A knot is one nautical mile per hour. In SI units, the knot is equivalent to exactly 1,852/3,600 m/s, which is approximately 0.5144 m/s [1.688 ft/s].",General Terms,https://glossary.slb.com/en/terms/k/knot
moment,"1. (n.) [General Terms] The product of a physical quantity and its distance from an axis or a tendency to cause motion around an axis. | 2. (n.) [Reservoir Characterization] The mean or expected value of the product formed by multiplying together a set of one or more variates or variables, each to a specified power.",General Terms; Reservoir Characterization,https://glossary.slb.com/en/terms/m/moment
NACE,"[General Terms] NACE, or NACE International, is a worldwide professional organization committed to corrosion prevention and control. NACE, founded in 1943, is headquartered in Houston, Texas, USA. Areas of focus include oil and gas, water, transportation and infrastructure protection. The original name was National Association of Corrosion Engineers—the source of its NACE acronym—although the organization formally adopted NACE International—The Corrosion Society, in 1993. Among its activities, the organization offers technical training and certification programs, conducts regional and international conferences, publishes industry standards, reports, publications and technical journals and assists in government relations activities. The NACE Materials Requirements include the widely used MR0175, corrosion resistant materials for oil and gas applications, and MR0103, sulfide stress cracking in corrosive environments. Publications can be ordered from NACE at http://www.nace.org/. References Petroleum and Natural Gas Industries—Materials for Use in H2S-Containing Environments in Oil and Gas Production, Houston: NACE International, ANSI/NACE MR0175/ISO 15156, 3rd ed., 2015. Petroleum and Natural Gas Industries—Metallic Materials Resistant to Sulfide Stress Cracking in Corrosive Petroleum Refining Environments, Houston: NACE International, MR0103/ISO 17945, 2015.",General Terms,https://glossary.slb.com/en/terms/n/nace
nautical mile,"[General Terms] A unit of distance used for marine and aerial navigation. A nautical mile is approximately equivalent to the angle of one minute of latitude at Earth’s surface. The conventional value for the nautical mile was established at the First International Extraordinary Hydrographic Conference held in the Principality of Monaco in 1929 and named the international nautical mile. In SI units, the nautical mile is equal to exactly 1,852 m, which is approximately 6,076 ft. Reference: Bureau International des Poids et Mesures: The International System of Units (SI), 8th edition. Paris: Organisation Intergouvernementale de la Convention du Mètre, 2006.",General Terms,https://glossary.slb.com/en/terms/n/nautical_mile
pyrolysis,"1. (n.) [Geology, Geochemistry, Shale Gas] A type of geochemical analysis in which a rock sample is subject to controlled heating in an inert gas to or past the point of generating hydrocarbons in order to assess its quality as a source rock, the abundance of organic material in it, its thermal maturity, and the quality of hydrocarbons it might generate or have generated. Pyrolysis breaks large hydrocarbon molecules into smaller molecules. This process is used to determine the quality of shale as a source rock and is instrumental in evaluating shale gas plays. | 2. (n.) [General Terms] Thermochemical breakdown of organic matter by heating in the absence of oxygen.","General Terms; Geology, Geochemistry, Shale Gas",https://glossary.slb.com/en/terms/p/pyrolysis
standard temperature and pressure,"[General Terms] Organizations establish a standard temperature and pressure to enable the comparison of datasets and to meet their members’ and stakeholders’ laboratory, industrial and regulatory requirements. For example, the International Union of Pure and Applied Chemistry (IUPAC) defines standard temperature to be 0°C [273.15°K, 32°F] and standard pressure to be 100 kPa [1 bar, 0.9869 atm, 14.504 psi] and the Society of Petroleum Engineers (SPE) defines standard temperature to be 15°C [288.15°K, 59°F] and standard pressure to be 100 kPa.",General Terms,https://glossary.slb.com/en/terms/s/standard_temperature_and_pressure
STP,"[General Terms] Abbreviation for standard temperature and pressure. Organizations establish a standard temperature and pressure to enable the comparison of datasets and to meet their members’ and stakeholders’ laboratory, industrial and regulatory requirements. For example, the International Union of Pure and Applied Chemistry (IUPAC) defines standard temperature to be 0°C [273.15°K, 32°F] and standard pressure to be 100 kPa [1 bar, 0.9869 atm, 14.504 psi] and the Society of Petroleum Engineers (SPE) defines standard temperature to be 15°C [288.15°K, 59°F] and standard pressure to be 100 kPa.",General Terms,https://glossary.slb.com/en/terms/s/stp
