term,definition,disciplines,url
acetic acid,"[Well Completions, Drilling Fluids, Well Workover and Intervention] An organic acid used in oil- and gas-well stimulation treatments. Less corrosive than the commonly used hydrochloric acid, acetic acid treatments can be more easily inhibited or retarded for treatments of long duration. This is necessary particularly in applications requiring the protection of exotic alloys or in high-temperature wells. In most cases, acetic acid is used in conjunction with hydrochloric acid and other acid additives. It can also be used as a chelating agent.","Well Completions, Drilling Fluids, Well Workover and Intervention",https://glossary.slb.com/en/terms/a/acetic_acid
acid job,"[Well Workover and Intervention, Well Completions] The treatment of a reservoir formation with a stimulation fluid containing a reactive acid. In sandstone formations, the acid reacts with the soluble substances in the formation matrix to enlarge the pore spaces. In carbonate formations, the acid dissolves the entire formation matrix. In each case, the matrix acidizing treatment improves the formation permeability to enable enhanced production of reservoir fluids. Matrix acidizing operations are ideally performed at high rate, but at treatment pressures below the fracture pressure of the formation. This enables the acid to penetrate the formation and extend the depth of treatment while avoiding damage to the reservoir formation.","Well Workover and Intervention, Well Completions",https://glossary.slb.com/en/terms/a/acid_job
acid stimulation,"[Well Completions, Well Workover and Intervention] The treatment of a reservoir formation with a stimulation fluid containing a reactive acid. In sandstone formations, the acid reacts with the soluble substances in the formation matrix to enlarge the pore spaces. In carbonate formations, the acid dissolves the entire formation matrix. In each case, the matrix acidizing treatment improves the formation permeability to enable enhanced production of reservoir fluids. Matrix acidizing operations are ideally performed at high rate, but at treatment pressures below the fracture pressure of the formation. This enables the acid to penetrate the formation and extend the depth of treatment while avoiding damage to the reservoir formation.","Well Completions, Well Workover and Intervention",https://glossary.slb.com/en/terms/a/acid_stimulation
acidize,"[Well Completions, Well Workover and Intervention] To pump acid into the wellbore to remove near-well formation damage and other damaging substances. This procedure commonly enhances production by increasing the effective well radius. When performed at pressures above the pressure required to fracture the formation, the procedure is often referred to as acid fracturing.","Well Completions, Well Workover and Intervention",https://glossary.slb.com/en/terms/a/acidize
acidizing,"[Well Workover and Intervention, Well Completions] The pumping of acid into the wellbore to remove near-well formation damage and other damaging substances. This procedure commonly enhances production by increasing the effective well radius. When performed at pressures above the pressure required to fracture the formation, the procedure is often referred to as acid fracturing.","Well Workover and Intervention, Well Completions",https://glossary.slb.com/en/terms/a/acidizing
adjustable choke,"1. (n.) [Drilling] A valve usually used in well control operations to reduce the pressure of a fluid from high pressure in the closed wellbore to atmospheric pressure. It may be adjusted (opened or closed) to closely control the pressure drop. Adjustable choke valves are constructed to resist wear while high-velocity, solids-laden fluids are flowing by the restricting or sealing elements. | 2. (n.) [Well Completions] A valve, located on or near the Christmas tree that is used to control the production of fluid from a well. Opening or closing the variable valve influences the rate and pressure at which production fluids progress through the pipeline or process facilities. The adjustable choke is commonly linked to an automated control system to enable the production parameters of individual wells to be closely controlled.",Drilling; Well Completions,https://glossary.slb.com/en/terms/a/adjustable_choke
ambient temperature,[Well Completions] The temperature at a point or area expressed as an average of the surrounding areas or materials. Ambient surface temperature is generally given to be 70 to 80 degF [21 to 27 degC]—an average of daily and seasonal variations.,Well Completions,https://glossary.slb.com/en/terms/a/ambient_temperature
annular space,"[Well Completions] The space surrounding one cylindrical object placed inside another, such as the space surrounding a tubular object placed in a wellbore.",Well Completions,https://glossary.slb.com/en/terms/a/annular_space
annular velocity,"1. (n.) [Drilling] The speed at which drilling fluid or cement moves in the annulus. It is important to monitor annular velocity to ensure that the hole is being properly cleaned of cuttings, cavings and other debris while avoiding erosion of the borehole wall. The annular velocity is commonly expressed in units of feet per minute or, less commonly, meters per minute. The term is distinct from volumetric flow. | 2. (n.) [Well Completions] The linear velocity of a fluid passing through an annular space. The term critical annular velocity is often used to describe the flow rate or velocity at which entrained solids will be efficiently transported by the annular fluid. If the fluid velocity falls below the critical rate, there will be a risk of particles settling, forming beds or bridges that may obstruct the wellbore.",Drilling; Well Completions,https://glossary.slb.com/en/terms/a/annular_velocity
area open to flow,"[Perforating, Well Completions] The calculated flow area provided by perforations across a specific zone of interest. The resulting value is used to calculate pressure drops and fluid-flow performance.","Perforating, Well Completions",https://glossary.slb.com/en/terms/a/area_open_to_flow
artificial lift,"[Well Completions] Any system that adds energy to the fluid column in a wellbore with the objective of initiating and improving production from the well. Artificial lift systems use a range of operating principles, including rod pumping, gas lift, and electric submersible pumps.",Well Completions,https://glossary.slb.com/en/terms/a/artificial_lift
atmospheric corrosion,"[Well Completions] Corrosion (oxidization) resulting from exposure of susceptible materials to oxygen and moisture. Atmospheric corrosion is generally associated with surface storage conditions, or with upper wellbore annuli that may not be fluid-filled.",Well Completions,https://glossary.slb.com/en/terms/a/atmospheric_corrosion
axial loading,"[Well Completions] The force acting along the axis of an object. In wellbore tubulars, axial loading is typically expressed as tension or compression and may result from applied conditions such as setdown weight, or be induced by operating conditions or variations such as changes in temperature that cause expansion or contraction of components.",Well Completions,https://glossary.slb.com/en/terms/a/axial_loading
back wash,"1. (n.) [Drilling] Another term for reverse circulation, the intentional pumping of wellbore fluids down the annulus and back up through the drillpipe. This is the opposite of the normal direction of fluid circulation in a wellbore. Since the inside volume of the drillpipe is considerably less than the volume of the annulus outside of the drillpipe, reverse circulation can bring bottomhole fluids to the surface faster than normal circulation for a given flow rate. Two potential hazards of reverse circulation include lifting cuttings and other junk into the drillstring and the rapid flow of reservoir fluids to the surface in a kick situation. | 2. (vb.) [Well Completions] To conduct reverse circulation—that is, to circulate fluid down the wellbore annulus, with returns being made up the tubing string. Reverse circulation is often used to remove debris from the wellbore because the high fluid flow rate inside the tubing string enables the recovery of large or dense debris particles that are difficult or impossible to remove with conventional circulation.",Drilling; Well Completions,https://glossary.slb.com/en/terms/b/back_wash
back-pressure valve,"[Well Completions] A type of check valve, typically installed in the tubing hanger, to isolate the production tubing. The backpressure valve is designed to hold pressure from below yet enable fluids to be pumped from above, as may be required for well-control purposes.",Well Completions,https://glossary.slb.com/en/terms/b/back-pressure_valve
backside,[Well Completions] A term used to describe the annulus surrounding a production tubing string above the production packer.,Well Completions,https://glossary.slb.com/en/terms/b/backside
backup ring,[Well Completions] A supporting ring used with an O-ring or similar seal to prevent extrusion of the seal material under high differential pressures or excess wear under dynamic sealing conditions.,Well Completions,https://glossary.slb.com/en/terms/b/back_up_ring
backwash,"1. (n.) [Drilling] Another term for reverse circulation, the intentional pumping of wellbore fluids down the annulus and back up through the drillpipe. This is the opposite of the normal direction of fluid circulation in a wellbore. Since the inside volume of the drillpipe is considerably less than the volume of the annulus outside of the drillpipe, reverse circulation can bring bottomhole fluids to the surface faster than normal circulation for a given flow rate. Two potential hazards of reverse circulation include lifting cuttings and other junk into the drillstring and the rapid flow of reservoir fluids to the surface in a kick situation. | 2. (vb.) [Well Completions] To conduct reverse circulation, that is, to circulate fluid down the wellbore annulus, with returns being made up the tubing string. Reverse circulation is often used to remove debris from the wellbore since the high fluid flow rate inside the tubing string enables the recovery of large or dense debris particles that are difficult or impossible to remove with conventional circulation.",Drilling; Well Completions,https://glossary.slb.com/en/terms/b/backwash
