term,definition,disciplines,url
abandonment costs,"[Oil and Gas Business] The costs associated with abandoning a well or production facility. Such costs are specified in the authority for expenditure (AFE), and typically cover well plugging removal of well equipment, production tanks, and associated installations surface remediation.",Oil and Gas Business,https://glossary.slb.com/en/terms/a/abandonment_costs
assignment,"[Oil and Gas Business] The sale, transfer, or conveyance of all or a fraction of ownership interest or rights owned in real estate or other such property. The term is commonly used in the oil and gas business to convey working interest, leases, royalty, overriding royalty interest, and net profits interest.",Oil and Gas Business,https://glossary.slb.com/en/terms/a/assignment
authority for expenditure,"[Oil and Gas Business] A budgetary document, usually prepared by the operator, to list estimated expenses of drilling a well to a specified depth, casing point, or geological objective, and then either completing or abandoning the well. Such expenses may include excavation and surface site preparation, the daily rental rate of a drilling rig, costs of fuel, drillpipe, bits, casing, cement and logging, and coring and testing of the well, among others. This estimate of expenses is provided to partners for approval prior to commencement of drilling or subsequent operations. Failure to approve an authority for expenditure (AFE) may result in delay or cancellation of the proposed drilling project or subsequent operation.",Oil and Gas Business,https://glossary.slb.com/en/terms/a/authority_for_expenditure
authorization for expenditure (AFE),"[Oil and Gas Business] A budgetary document, usually prepared by the operator, to list estimated expenses of drilling a well to a specified depth, casing point or geological objective, and then either completing or abandoning the well. Such expenses may include excavation and surface site preparation, the daily rental rate of a drilling rig, costs of fuel, drillpipe, bits, casing, cement and logging, and coring and testing of the well, among others. This estimate of expenses is provided to partners for approval prior to commencement of drilling or subsequent operations. Failure to approve an authority for expenditure (AFE) may result in delay or cancellation of the proposed drilling project or subsequent operation.",Oil and Gas Business,https://glossary.slb.com/en/terms/a/afe
back in,"[Oil and Gas Business] The right to receive a reversionary interest at some future time, upon fulfillment of contractually specified conditions. This clause allows a lease-owner, lessee or a nonparticipating partner to reserve the option to participate in a well after it has produced enough to pay the operators expenses of drilling and completing that well. This clause is typically used in farmout agreements to convert the overriding royalty interest of a lease-owner, lessee or nonparticipating partner into a working interest upon payout of the well. When the election to convert the overriding royalty to working interest takes place, it is known as a back-in after payout (BIAPO).",Oil and Gas Business,https://glossary.slb.com/en/terms/b/back_in
back-in,"[Oil and Gas Business] The right to receive a reversionary interest at some future time, upon fulfillment of contractually specified conditions. This clause allows a lease owner, lessee, or a nonparticipating partner to reserve the option to participate in a well after it has produced enough to pay the operators expenses of drilling and completing that well. This clause is typically used in farmout agreements to convert the overriding royalty interest of a lease owner, lessee, or nonparticipating partner into a working interest upon payout of the well. When the election to convert the overriding royalty to working interest takes place, it is known as a back-in after payout (BIAPO).",Oil and Gas Business,https://glossary.slb.com/en/terms/b/back-in
bid and study agreement,[Oil and Gas Business] An agreement between two or more parties to review technical data prior to deciding whether to bid on a concession. The agreement also specifies the interests and the procedure for bidding between the parties in the event that the parties decide to bid on the concession.,Oil and Gas Business,https://glossary.slb.com/en/terms/b/bid_and_study_agreement
bonus consideration,"[Oil and Gas Business] A monetary incentive given by the lessee (either an individual or company) to the lessor (mineral owner) for executing or ratifying an oil, gas, and mineral lease.",Oil and Gas Business,https://glossary.slb.com/en/terms/b/bonus_consideration
carried working interest,"[Oil and Gas Business] A working interest generally paid in consideration for work related to the prospect. This interest is paid, or carried, for the drilling and or completion costs as specified in the contract between the parties, by another working interest owner typically until casing point is reached, or through the tanks, meaning through completion of the well, as agreed upon contractually.",Oil and Gas Business,https://glossary.slb.com/en/terms/c/carried_working_interest
communitization,[Oil and Gas Business] The combining of smaller federal tracts of land to total the acreage required by the US Bureau of Land Management and/or state regulations to form a legal spacing and proration unit.,Oil and Gas Business,https://glossary.slb.com/en/terms/c/communitization
